,district,year,implant_women_old,implant_women_new,injection2_women_old,injection2_women_new,injection3_women_old,injection3_women_new,pill_women_old,pill_women_new,iud_women_old,iud_women_new,iud_number_dispensed,implant_number_dispensed,injection2_number_dispensed,injection3_number_dispensed,pill_number_dispensed,iud_number_received,implant_number_received,injection2_number_received,injection3_number_received,pill_number_received,iud_stock_end,implant_stock_end,injection2_stock_end,injection3_stock_end,pill_stock_end
107,DIANRA,2016,38.0,167.0,52.0,31.0,274,125,8.0,,,31.0,,127.0,31.0,49.0,63.0,,304.0,154.0,166.0,243.0,,,,,
108,DIDIEVI,2018,5018.0,116.0,125.0,8.0,10698,531,1515.0,78.0,,2.0,5.0,111.0,42.0,1418.0,741.0,7.0,264.0,277.0,3248.0,1257.0,,630.0,,3551.0,1989.0
109,DIDIEVI,2017,3928.0,162.0,343.0,31.0,8416,571,999.0,138.0,17.0,1.0,3.0,137.0,169.0,1354.0,1857.0,45.0,296.0,904.0,2894.0,2856.0,,449.0,,3755.0,2561.0
110,DIDIEVI,2016,2358.0,150.0,530.0,44.0,6065,491,848.0,100.0,21.0,2.0,1.0,150.0,446.0,1247.0,2052.0,6.0,395.0,1301.0,3115.0,3185.0,,122.0,,1349.0,383.0
111,DIKODOUGOU,2018,39.0,174.0,141.0,79.0,830,383,7.0,4.0,,4.0,,211.0,218.0,1211.0,31.0,,371.0,602.0,1504.0,74.0,,311.0,,980.0,195.0
112,DIKODOUGOU,2017,42.0,134.0,106.0,88.0,775,389,12.0,43.0,,1.0,,177.0,181.0,1136.0,57.0,,400.0,573.0,1507.0,73.0,,416.0,,1032.0,253.0
113,DIKODOUGOU,2016,17.0,93.0,70.0,70.0,598,334,10.0,10.0,,,,108.0,216.0,906.0,24.0,,218.0,484.0,1285.0,60.0,,88.0,,448.0,50.0
114,DIMBOKRO,2018,141.0,380.0,254.0,61.0,3428,825,985.0,239.0,41.0,37.0,18.0,457.0,308.0,3810.0,2302.0,120.0,961.0,905.0,4558.0,3323.0,,1866.0,,3372.0,2871.0
115,DIMBOKRO,2017,266.0,258.0,376.0,95.0,2073,596,755.0,299.0,,10.0,8.0,255.0,421.0,2437.0,2221.0,,341.0,1350.0,2773.0,3717.0,,580.0,,4127.0,5012.0
116,DIMBOKRO,2016,472.0,352.0,869.0,348.0,2103,1001,758.0,633.0,1.0,2.0,2.0,271.0,1147.0,1971.0,3150.0,,630.0,2622.0,2759.0,7487.0,,,,,1.0
117,DIVO,2018,6284.0,2461.0,2134.0,349.0,12835,2365,3806.0,626.0,139.0,65.0,95.0,1500.0,907.0,6224.0,47544.0,125.0,1898.0,1034.0,6906.0,50973.0,,1608.0,,4048.0,38481.0
118,DIVO,2017,2165.0,1145.0,1089.0,260.0,7074,1651,2106.0,408.0,78.0,14.0,49.0,1105.0,1148.0,5940.0,50638.0,,690.0,1071.0,5387.0,56788.0,,537.0,,2756.0,45928.0
119,DIVO,2016,248.0,142.0,1106.0,300.0,3513,891,1307.0,312.0,24.0,2.0,22.0,101.0,1281.0,2394.0,32057.0,7.0,210.0,1971.0,3204.0,41572.0,,,,348.0,14070.0
120,DOROPO,2018,198.0,237.0,94.0,74.0,1328,750,33.0,28.0,,,,205.0,134.0,1723.0,37.0,35.0,562.0,285.0,2892.0,170.0,,520.0,,1291.0,189.0
121,DOROPO,2017,41.0,143.0,117.0,116.0,779,291,61.0,21.0,,10.0,,103.0,103.0,757.0,339.0,5.0,288.0,246.0,1186.0,870.0,,220.0,,458.0,629.0
122,DOROPO,2016,18.0,128.0,78.0,56.0,456,247,72.0,62.0,,,,74.0,96.0,336.0,62.0,,93.0,157.0,393.0,86.0,,,,,
123,DUEKOUE,2018,16764.0,1407.0,2138.0,261.0,19483,2805,3046.0,157.0,15.0,20.0,5.0,920.0,140.0,2753.0,1163.0,56.0,1563.0,663.0,5136.0,3964.0,,1512.0,,4923.0,5472.0
124,DUEKOUE,2017,13884.0,987.0,2807.0,170.0,15411,2539,2218.0,207.0,352.0,49.0,49.0,570.0,348.0,3380.0,1673.0,77.0,1302.0,749.0,4703.0,3678.0,,1290.0,,3669.0,6674.0
125,DUEKOUE,2016,7565.0,1097.0,2342.0,379.0,10421,1803,1863.0,339.0,211.0,14.0,17.0,322.0,557.0,2446.0,1772.0,139.0,734.0,2026.0,3276.0,2767.0,,148.0,,1138.0,3007.0
126,FERKESSEDOUGOU,2018,1589.0,675.0,409.0,74.0,3079,1052,250.0,60.0,2.0,21.0,1.0,191.0,90.0,1100.0,151.0,1.0,237.0,437.0,1396.0,803.0,,200.0,,587.0,643.0
127,FERKESSEDOUGOU,2017,45.0,655.0,449.0,86.0,2883,1044,234.0,56.0,,48.0,,404.0,459.0,2391.0,395.0,,488.0,1143.0,2994.0,1300.0,,366.0,,1369.0,907.0
128,FERKESSEDOUGOU,2016,279.0,76.0,728.0,220.0,2860,997,155.0,35.0,,,,21.0,398.0,726.0,163.0,,30.0,1085.0,1393.0,1022.0,,,,,
129,FRESCO,2018,2042.0,146.0,565.0,135.0,2550,619,347.0,101.0,59.0,,,232.0,335.0,1505.0,1021.0,,17.0,352.0,1153.0,1545.0,,421.0,,1406.0,3248.0
130,FRESCO,2017,1218.0,135.0,926.0,189.0,2191,631,348.0,128.0,,2.0,25.0,150.0,575.0,1741.0,7150.0,37.0,188.0,205.0,1535.0,6133.0,,845.0,,1659.0,4661.0
131,FRESCO,2016,739.0,188.0,769.0,192.0,1421,515,262.0,146.0,12.0,8.0,17.0,181.0,594.0,1452.0,1258.0,30.0,268.0,712.0,1828.0,815.0,,48.0,,789.0,367.0
132,GAGNOA 1,2018,478.0,495.0,1450.0,452.0,6987,1906,1316.0,437.0,24.0,28.0,19.0,620.0,2205.0,6652.0,8875.0,961.0,1032.0,3495.0,7480.0,14878.0,,1041.0,,5506.0,12214.0
133,GAGNOA 1,2017,334.0,294.0,1392.0,451.0,6291,1767,1175.0,314.0,23.0,15.0,22.0,322.0,2078.0,6346.0,8968.0,846.0,605.0,3736.0,8818.0,16001.0,,416.0,,3347.0,14372.0
134,GAGNOA 1,2016,4.0,141.0,1487.0,543.0,6285,1745,1214.0,375.0,7.0,16.0,55.0,105.0,1755.0,7036.0,5003.0,36.0,200.0,2443.0,37416.0,5541.0,,,,,
135,GAGNOA 2,2018,3789.0,521.0,206.0,118.0,3016,1074,518.0,137.0,11.0,13.0,1.0,415.0,170.0,2671.0,1658.0,52.0,935.0,770.0,3830.0,5224.0,,916.0,,1735.0,7789.0
136,GAGNOA 2,2017,2650.0,462.0,169.0,68.0,2964,1149,543.0,201.0,23.0,25.0,14.0,445.0,173.0,2955.0,1083.0,87.0,909.0,1014.0,4325.0,2218.0,,408.0,,1350.0,1252.0
137,GAGNOA 2,2016,1133.0,336.0,342.0,142.0,1867,796,442.0,171.0,15.0,6.0,10.0,289.0,427.0,1603.0,1602.0,29.0,501.0,946.0,2545.0,2354.0,,,,,
138,GRAND-BASSAM,2018,289.0,777.0,2252.0,322.0,6396,1291,1454.0,232.0,185.0,133.0,378.0,832.0,2690.0,4180.0,5107.0,662.0,2006.0,4802.0,5712.0,6924.0,,3055.0,,10255.0,10127.0
139,GRAND-BASSAM,2017,199.0,700.0,2806.0,616.0,5680,1621,1850.0,485.0,150.0,136.0,186.0,468.0,3171.0,4186.0,7501.0,876.0,776.0,4872.0,5634.0,9792.0,,1604.0,,8213.0,17845.0
140,GRAND-BASSAM,2016,62.0,124.0,3833.0,924.0,4761,1161,3088.0,559.0,175.0,128.0,126.0,124.0,4453.0,2336.0,7960.0,538.0,402.0,8204.0,4130.0,14599.0,,,,,
141,GRAND-LAHOU,2018,142.0,285.0,128.0,110.0,2244,752,306.0,109.0,3.0,1.0,4.0,359.0,163.0,1585.0,742.0,27.0,1260.0,686.0,2687.0,2187.0,,970.0,,1273.0,1971.0
142,GRAND-LAHOU,2017,99.0,551.0,154.0,51.0,1774,520,239.0,195.0,12.0,7.0,19.0,767.0,168.0,1078.0,1453.0,4.0,816.0,736.0,1536.0,3659.0,,300.0,,1283.0,6014.0
143,GRAND-LAHOU,2016,28.0,188.0,164.0,59.0,1603,416,203.0,92.0,,1.0,1.0,104.0,261.0,475.0,921.0,1.0,98.0,1196.0,665.0,2118.0,,,,,
144,GUEYO,2018,461.0,277.0,51.0,26.0,1480,413,165.0,23.0,2.0,6.0,,236.0,68.0,1012.0,206.0,60.0,417.0,109.0,1491.0,503.0,,464.0,,821.0,534.0
145,GUEYO,2017,386.0,328.0,85.0,45.0,1441,372,85.0,19.0,,8.0,,229.0,129.0,1240.0,147.0,55.0,338.0,304.0,1682.0,460.0,,329.0,,1117.0,434.0
146,GUEYO,2016,90.0,243.0,207.0,125.0,1051,319,114.0,29.0,1.0,2.0,,218.0,401.0,954.0,219.0,,336.0,541.0,1607.0,634.0,,,,,
147,GUIGLO,2018,1103.0,716.0,387.0,106.0,2774,999,446.0,82.0,67.0,16.0,22.0,843.0,427.0,3589.0,807.0,173.0,3396.0,3031.0,7985.0,5383.0,,3728.0,,9516.0,6761.0
148,GUIGLO,2017,1059.0,654.0,265.0,81.0,2453,1037,314.0,167.0,15.0,26.0,9.0,468.0,286.0,3137.0,1095.0,88.0,1310.0,2399.0,7487.0,3866.0,,1202.0,,7594.0,5976.0
149,GUIGLO,2016,135.0,529.0,272.0,160.0,2265,950,401.0,169.0,5.0,13.0,7.0,349.0,461.0,2834.0,1167.0,120.0,1189.0,2094.0,12356.0,3283.0,,311.0,,3626.0,1252.0
150,GUITRY,2018,1397.0,143.0,78.0,38.0,2398,486,275.0,49.0,,6.0,6.0,110.0,95.0,1815.0,349.0,36.0,466.0,367.0,1997.0,819.0,,554.0,,614.0,544.0
151,GUITRY,2017,1337.0,169.0,30.0,33.0,2059,512,222.0,49.0,,2.0,,85.0,61.0,1757.0,2198.0,60.0,229.0,283.0,2405.0,5085.0,,156.0,,863.0,2780.0
152,GUITRY,2016,,71.0,73.0,34.0,1078,219,208.0,26.0,,10.0,10.0,37.0,73.0,920.0,2202.0,27.0,103.0,247.0,1378.0,10598.0,,,,26.0,534.0
153,ISSIA,2018,21772.0,1890.0,190.0,42.0,12453,2276,3503.0,360.0,3482.0,89.0,44.0,567.0,40.0,1109.0,1281.0,351.0,1033.0,723.0,2140.0,2022.0,,591.0,,1421.0,1902.0
154,ISSIA,2017,1437.0,1107.0,202.0,49.0,4396,1449,811.0,302.0,64.0,43.0,27.0,571.0,180.0,1025.0,1168.0,331.0,797.0,833.0,2209.0,3673.0,,224.0,,1194.0,2609.0
155,ISSIA,2016,183.0,673.0,294.0,70.0,2981,1025,815.0,222.0,38.0,16.0,12.0,551.0,303.0,2420.0,1857.0,458.0,775.0,1290.0,3404.0,3884.0,,158.0,,536.0,392.0
156,JACQUEVILLE,2018,43.0,57.0,631.0,175.0,1622,364,243.0,71.0,,1.0,2.0,48.0,714.0,1283.0,482.0,1.0,117.0,1071.0,1403.0,1744.0,,87.0,,386.0,1283.0
157,JACQUEVILLE,2017,6.0,28.0,494.0,151.0,1435,405,125.0,50.0,,,7.0,28.0,559.0,1212.0,307.0,1.0,114.0,967.0,1378.0,837.0,,91.0,,321.0,689.0
158,JACQUEVILLE,2016,2.0,130.0,803.0,176.0,831,271,189.0,67.0,,,9.0,42.0,918.0,602.0,358.0,8.0,209.0,1376.0,978.0,2069.0,,,,,
159,KANI,2018,65.0,182.0,,,1122,258,2.0,1.0,11.0,9.0,13.0,99.0,,364.0,4.0,30.0,215.0,,460.0,43.0,,346.0,,725.0,66.0
160,KANI,2017,57.0,146.0,12.0,8.0,1037,364,1.0,4.0,78.0,14.0,16.0,83.0,11.0,290.0,,5.0,36.0,,335.0,14.0,,105.0,,484.0,11.0
161,KANI,2016,1.0,142.0,8.0,21.0,335,166,7.0,22.0,2.0,45.0,,25.0,15.0,102.0,2.0,,47.0,10.0,263.0,,,,,,
162,KANIASSO,2018,1874.0,260.0,,,865,259,9.0,4.0,,,,36.0,,82.0,4.0,50.0,37.0,,76.0,1.0,,59.0,,69.0,17.0
163,KANIASSO,2017,4809.0,356.0,39.0,1.0,2035,301,19.0,7.0,47.0,4.0,,91.0,,177.0,37.0,,164.0,,273.0,499.0,,100.0,,416.0,555.0
164,KANIASSO,2016,1171.0,196.0,4.0,,1437,236,11.0,13.0,,1.0,,152.0,,547.0,145.0,,316.0,,831.0,419.0,,132.0,,354.0,16.0
165,KATIOLA,2018,706.0,1038.0,326.0,97.0,3333,1006,221.0,97.0,,25.0,12.0,857.0,305.0,2311.0,833.0,35.0,1391.0,423.0,2384.0,1245.0,,1100.0,,1683.0,1490.0
166,KATIOLA,2017,230.0,934.0,337.0,131.0,2934,983,169.0,74.0,,27.0,20.0,684.0,313.0,2016.0,651.0,75.0,1150.0,598.0,2784.0,1074.0,,826.0,,1667.0,865.0
167,KATIOLA,2016,284.0,811.0,371.0,196.0,3106,1033,139.0,67.0,13.0,4.0,2.0,291.0,257.0,1624.0,252.0,1.0,527.0,426.0,2037.0,438.0,,,,,
168,KONG,2018,211.0,169.0,259.0,41.0,1139,429,1.0,2.0,,,,15.0,11.0,49.0,,,33.0,32.0,107.0,,,25.0,,58.0,
169,KONG,2017,714.0,110.0,421.0,73.0,1358,370,5.0,9.0,,1.0,,26.0,9.0,175.0,,10.0,49.0,53.0,292.0,,,25.0,,130.0,
170,KONG,2016,78.0,23.0,526.0,112.0,1380,290,32.0,13.0,,,,13.0,109.0,96.0,18.0,,28.0,119.0,109.0,15.0,,,,,
171,KORHOGO 1,2018,990.0,1856.0,5244.0,1562.0,13137,4625,2800.0,837.0,77.0,64.0,107.0,1944.0,5203.0,15915.0,5062.0,673.0,4066.0,9183.0,26063.0,10971.0,,3118.0,,10371.0,7991.0
172,KORHOGO 1,2017,428.0,1528.0,5978.0,1203.0,14414,4525,2882.0,372.0,122.0,54.0,77.0,1440.0,3952.0,14094.0,1978.0,457.0,3807.0,10865.0,22264.0,13196.0,,3198.0,,10926.0,17150.0
173,KORHOGO 1,2016,206.0,855.0,6531.0,910.0,11031,2864,1607.0,171.0,70.0,25.0,54.0,873.0,5701.0,11776.0,3112.0,260.0,2559.0,9515.0,16700.0,9516.0,,681.0,,3765.0,2784.0
174,KORHOGO 2,2018,9.0,301.0,126.0,71.0,2100,646,27.0,8.0,1.0,,,320.0,205.0,2747.0,175.0,2.0,1207.0,796.0,4606.0,1967.0,,962.0,,2169.0,1799.0
175,KORHOGO 2,2017,,213.0,141.0,36.0,1863,642,5.0,5.0,,5.0,,203.0,156.0,2400.0,66.0,,755.0,571.0,3857.0,1902.0,,723.0,,1887.0,1840.0
176,KORHOGO 2,2016,13.0,222.0,96.0,53.0,1424,627,23.0,4.0,,1.0,6.0,168.0,120.0,1842.0,411.0,21.0,447.0,766.0,2505.0,900.0,,241.0,,728.0,296.0
177,KORO,2018,1719.0,225.0,2.0,1.0,2231,378,189.0,108.0,,,,235.0,2.0,687.0,235.0,,470.0,2.0,2091.0,501.0,,560.0,,2135.0,520.0
178,KORO,2017,786.0,157.0,3.0,2.0,1092,294,157.0,69.0,,,,167.0,3.0,822.0,1128.0,,345.0,53.0,2597.0,3423.0,,431.0,,2300.0,3501.0
179,KORO,2016,332.0,77.0,21.0,8.0,471,168,70.0,14.0,,,,95.0,11.0,658.0,562.0,,223.0,49.0,819.0,916.0,,173.0,,292.0,707.0
180,KOUASSI KOUASSIKRO,2018,35.0,13.0,132.0,31.0,303,96,88.0,40.0,,,,8.0,160.0,287.0,59.0,,44.0,229.0,348.0,96.0,,64.0,,304.0,78.0
181,KOUASSI KOUASSIKRO,2017,8.0,5.0,55.0,11.0,254,89,78.0,43.0,,,,,56.0,331.0,77.0,,10.0,85.0,430.0,90.0,,15.0,,270.0,548.0
182,KOUASSI KOUASSIKRO,2016,,,102.0,73.0,166,146,78.0,82.0,,6.0,6.0,,148.0,281.0,99.0,6.0,,218.0,316.0,165.0,,,,,
183,KOUIBLY,2018,11179.0,795.0,1149.0,58.0,14090,1580,1156.0,197.0,80.0,6.0,4.0,393.0,76.0,2145.0,3390.0,6.0,742.0,110.0,3016.0,4210.0,,1685.0,,2508.0,8219.0
184,KOUIBLY,2017,7011.0,682.0,832.0,89.0,7633,947,329.0,83.0,,7.0,,413.0,103.0,1814.0,2007.0,9.0,593.0,169.0,2607.0,4909.0,,670.0,,2124.0,7932.0
185,KOUIBLY,2016,207.0,614.0,253.0,238.0,2097,864,227.0,69.0,,5.0,6.0,373.0,203.0,1820.0,3218.0,25.0,475.0,346.0,2280.0,10206.0,,221.0,,959.0,5116.0
186,KOUMASSI,2018,457.0,964.0,5953.0,1094.0,4853,1308,4902.0,655.0,149.0,179.0,155.0,972.0,6271.0,3206.0,13406.0,1131.0,2542.0,23354.0,7690.0,57007.0,,2106.0,,4308.0,46012.0
187,KOUMASSI,2017,919.0,1643.0,1760.0,290.0,6959,1606,5328.0,427.0,283.0,221.0,276.0,1298.0,1444.0,5919.0,13751.0,2082.0,3071.0,24698.0,17278.0,48806.0,,2631.0,,13675.0,40674.0
188,KOUMASSI,2016,73.0,634.0,1536.0,322.0,5774,1484,6260.0,369.0,51.0,207.0,206.0,696.0,1850.0,5216.0,15667.0,1980.0,2803.0,19040.0,26495.0,37092.0,,,,,
189,KOUN-FAO,2018,24.0,56.0,1042.0,168.0,4479,697,1042.0,162.0,16.0,3.0,16.0,57.0,482.0,2428.0,1752.0,32.0,405.0,1836.0,3028.0,2361.0,,267.0,,2255.0,3132.0
190,KOUN-FAO,2017,20.0,53.0,1051.0,171.0,4084,832,1049.0,194.0,13.0,5.0,9.0,51.0,751.0,2365.0,1411.0,,189.0,1248.0,3241.0,2397.0,,261.0,,2570.0,3170.0
191,KOUN-FAO,2016,3.0,121.0,717.0,217.0,3602,754,1197.0,186.0,9.0,11.0,11.0,123.0,496.0,2120.0,1210.0,14.0,150.0,766.0,3245.0,1683.0,,,,,
192,KOUNAHIRI,2018,489.0,168.0,78.0,21.0,858,358,60.0,15.0,27.0,5.0,7.0,164.0,101.0,687.0,29.0,10.0,187.0,163.0,384.0,28.0,,365.0,,398.0,175.0
193,KOUNAHIRI,2017,183.0,161.0,81.0,61.0,719,284,10.0,7.0,26.0,15.0,,153.0,121.0,424.0,22.0,,192.0,132.0,546.0,47.0,,427.0,,374.0,66.0
194,KOUNAHIRI,2016,28.0,100.0,40.0,38.0,566,220,4.0,18.0,,,3.0,112.0,68.0,267.0,21.0,19.0,176.0,135.0,270.0,270.0,,,,,
195,KOUTO,2018,53.0,368.0,276.0,128.0,1573,948,70.0,42.0,,,,355.0,338.0,1918.0,97.0,3.0,972.0,1232.0,3103.0,301.0,,788.0,,2066.0,211.0
196,KOUTO,2017,49.0,278.0,119.0,120.0,1257,817,29.0,40.0,,,,279.0,232.0,1627.0,74.0,,939.0,1291.0,2916.0,602.0,,654.0,,1884.0,504.0
197,KOUTO,2016,15.0,108.0,124.0,97.0,765,324,245.0,10.0,,,,67.0,192.0,698.0,42.0,,935.0,877.0,1020.0,218.0,,479.0,,350.0,88.0
198,LAKOTA,2018,2452.0,566.0,1058.0,295.0,3362,859,884.0,116.0,55.0,17.0,46.0,415.0,976.0,1865.0,1516.0,,1034.0,1691.0,2723.0,3645.0,,1332.0,,2406.0,4230.0
199,LAKOTA,2017,1913.0,479.0,609.0,229.0,3036,923,525.0,119.0,109.0,5.0,5.0,354.0,703.0,2101.0,1275.0,24.0,727.0,2650.0,2808.0,3603.0,,984.0,,2565.0,3426.0
200,LAKOTA,2016,288.0,398.0,913.0,301.0,2236,727,309.0,230.0,13.0,4.0,6.0,313.0,1040.0,2054.0,1081.0,,438.0,2080.0,2114.0,3760.0,,260.0,,1662.0,3745.0
201,M'BATTO,2018,277.0,101.0,57.0,9.0,2681,546,1276.0,170.0,,5.0,,53.0,67.0,1398.0,1175.0,,92.0,133.0,1474.0,1459.0,,168.0,,897.0,1450.0
202,M'BATTO,2017,46.0,26.0,73.0,26.0,2062,373,728.0,131.0,,,12.0,4.0,102.0,1326.0,1010.0,,10.0,260.0,1220.0,1195.0,,26.0,,777.0,1077.0
203,M'BATTO,2016,5.0,36.0,159.0,45.0,1351,407,489.0,113.0,,,24.0,,227.0,1033.0,2897.0,43.0,,629.0,1540.0,1913.0,,,,,
204,M'BENGUE,2018,64.0,160.0,195.0,95.0,1573,849,35.0,15.0,,,20.0,166.0,297.0,2472.0,75.0,28.0,425.0,654.0,3636.0,545.0,,376.0,,1773.0,636.0
205,M'BENGUE,2017,4.0,90.0,254.0,98.0,1629,554,26.0,17.0,,,,84.0,345.0,2200.0,171.0,,219.0,651.0,3041.0,130.0,,272.0,,2272.0,437.0
206,M'BENGUE,2016,,50.0,203.0,113.0,1411,561,40.0,8.0,,2.0,28.0,47.0,303.0,1871.0,261.0,12.0,156.0,608.0,2445.0,129.0,,78.0,,920.0,47.0
207,MADINANI,2018,4054.0,203.0,134.0,12.0,2122,110,40.0,4.0,208.0,4.0,,191.0,16.0,282.0,1428.0,,382.0,,330.0,32.0,,826.0,,704.0,1086.0
208,MADINANI,2017,2424.0,242.0,41.0,10.0,1506,150,17.0,4.0,25.0,,,207.0,26.0,257.0,43.0,,292.0,70.0,397.0,75.0,,389.0,,580.0,388.0
209,MADINANI,2016,333.0,215.0,77.0,17.0,612,157,81.0,44.0,12.0,3.0,5.0,187.0,26.0,273.0,75.0,8.0,282.0,161.0,374.0,216.0,,10.0,,35.0,
210,MAN,2018,3592.0,1270.0,3918.0,544.0,7565,1880,1207.0,229.0,426.0,136.0,103.0,1005.0,1326.0,4420.0,2698.0,266.0,2012.0,2225.0,6081.0,7941.0,,1904.0,,4281.0,7492.0
211,MAN,2017,1392.0,778.0,662.0,218.0,6726,1503,784.0,151.0,14.0,97.0,44.0,647.0,799.0,3620.0,4676.0,103.0,1315.0,1362.0,5341.0,11193.0,,1087.0,,3483.0,11619.0
212,MAN,2016,702.0,882.0,482.0,252.0,5336,1424,660.0,226.0,,20.0,4.0,240.0,213.0,2268.0,2042.0,5.0,541.0,779.0,4188.0,3468.0,,,,,
213,MANKONO,2018,3035.0,1361.0,28.0,41.0,1394,906,16.0,16.0,84.0,28.0,10.0,701.0,69.0,1735.0,37.0,70.0,1458.0,793.0,3067.0,393.0,,1090.0,,2017.0,5122.0
214,MANKONO,2017,1171.0,563.0,67.0,51.0,1247,907,26.0,59.0,314.0,41.0,3.0,440.0,89.0,1449.0,12.0,42.0,904.0,192.0,2422.0,71.0,,545.0,,1370.0,2798.0
215,MANKONO,2016,475.0,448.0,81.0,77.0,1129,823,114.0,33.0,20.0,9.0,40.0,260.0,140.0,1017.0,62.0,33.0,457.0,392.0,1280.0,225.0,,,,,
216,MBAHIAKRO,2018,1214.0,115.0,132.0,44.0,1412,388,837.0,256.0,18.0,,,112.0,181.0,1573.0,1512.0,72.0,488.0,840.0,3655.0,4630.0,,791.0,,4647.0,15153.0
217,MBAHIAKRO,2017,608.0,125.0,304.0,51.0,1349,393,1135.0,319.0,,,7.0,185.0,178.0,1393.0,1258.0,12.0,406.0,706.0,2743.0,3971.0,,516.0,,3684.0,5979.0
218,MBAHIAKRO,2016,354.0,57.0,1050.0,160.0,3833,325,2454.0,278.0,12.0,7.0,,84.0,763.0,1089.0,1964.0,6.0,107.0,666.0,811.0,1577.0,,,,,
219,MEAGUI,2018,726.0,1512.0,352.0,140.0,3730,1461,576.0,173.0,198.0,179.0,189.0,1665.0,619.0,4440.0,2531.0,680.0,3036.0,1712.0,6152.0,3800.0,,2340.0,,3416.0,2575.0
220,MEAGUI,2017,722.0,789.0,183.0,80.0,2569,864,765.0,154.0,11.0,93.0,103.0,1018.0,416.0,3111.0,1962.0,573.0,2029.0,1504.0,4452.0,4215.0,,1805.0,,2937.0,3212.0
221,MEAGUI,2016,236.0,390.0,278.0,84.0,1804,762,420.0,132.0,6.0,26.0,15.0,413.0,348.0,2213.0,1465.0,212.0,975.0,703.0,2698.0,2750.0,,,,,
222,MINIGNAN,2018,5276.0,200.0,25.0,2.0,4763,187,5.0,5.0,,,,47.0,,106.0,,,132.0,,271.0,,,144.0,,255.0,490.0
223,MINIGNAN,2017,5534.0,244.0,97.0,,4766,293,3.0,2.0,,,,119.0,,181.0,70.0,,174.0,,237.0,,,183.0,,239.0,315.0
224,MINIGNAN,2016,1704.0,162.0,53.0,7.0,2022,273,1.0,2.0,114.0,23.0,3.0,161.0,1.0,442.0,35.0,,260.0,15.0,784.0,,,134.0,,258.0,1050.0
