district,month,year,implant_women_old,implant_women_new,injection2_women_old,injection2_women_new,injection3_women_old,injection3_women_new,pill_women_old,pill_women_new,iud_women_old,iud_women_new,iud_number_dispensed,implant_number_dispensed,injection2_number_dispensed,injection3_number_dispensed,pill_number_dispensed,iud_number_received,implant_number_received,injection2_number_received,injection3_number_received,pill_number_received,iud_stock_end,implant_stock_end,injection2_stock_end,injection3_stock_end,pill_stock_end
ABENGOUROU,1,2019,478.0,91.0,103.0,17.0,1278,296,195.0,34.0,,,,75.0,44.0,1082.0,2542.0,,319.0,33.0,1244.0,2846.0,,422.0,,1501.0,3466.0
ABENGOUROU,2,2019,340.0,81.0,126.0,10.0,1237,253,187.0,19.0,9.0,1.0,1.0,66.0,38.0,813.0,557.0,20.0,255.0,17.0,1174.0,2608.0,,394.0,,1535.0,3327.0
ABENGOUROU,3,2019,367.0,59.0,14.0,7.0,1300,224,147.0,26.0,,5.0,5.0,47.0,42.0,819.0,665.0,50.0,214.0,50.0,1050.0,2148.0,,340.0,,1187.0,3636.0
ABENGOUROU,4,2019,583.0,46.0,6.0,1.0,1296,336,200.0,35.0,,3.0,1.0,36.0,66.0,874.0,404.0,45.0,217.0,55.0,824.0,1787.0,,340.0,,889.0,2727.0
ABENGOUROU,5,2019,407.0,60.0,46.0,20.0,1356,281,156.0,24.0,,1.0,1.0,71.0,47.0,813.0,545.0,14.0,321.0,256.0,1032.0,1635.0,,355.0,,604.0,1668.0
ABENGOUROU,6,2019,344.0,53.0,75.0,26.0,1467,204,163.0,27.0,,3.0,3.0,64.0,85.0,827.0,630.0,13.0,240.0,397.0,914.0,1536.0,,54.0,,648.0,2583.0
ABOBO EST,1,2019,1061.0,155.0,140.0,7.0,1483,334,369.0,48.0,311.0,10.0,13.0,73.0,12.0,717.0,327.0,55.0,199.0,40.0,858.0,553.0,,189.0,,501.0,311.0
ABOBO EST,2,2019,914.0,130.0,121.0,3.0,1447,308,239.0,31.0,91.0,10.0,12.0,66.0,,595.0,304.0,50.0,332.0,18.0,918.0,623.0,,299.0,,475.0,601.0
ABOBO EST,3,2019,1007.0,220.0,43.0,45.0,1520,377,177.0,34.0,97.0,22.0,23.0,195.0,,818.0,324.0,69.0,200.0,,1012.0,386.0,,334.0,,584.0,522.0
ABOBO EST,4,2019,924.0,106.0,177.0,20.0,1074,107,183.0,26.0,103.0,1.0,4.0,98.0,18.0,537.0,330.0,46.0,148.0,60.0,566.0,330.0,,264.0,,347.0,516.0
ABOBO EST,5,2019,962.0,114.0,131.0,12.0,1294,130,253.0,31.0,102.0,9.0,4.0,123.0,16.0,804.0,227.0,25.0,230.0,238.0,817.0,266.0,,255.0,,418.0,143.0
ABOBO EST,6,2019,1043.0,187.0,186.0,18.0,1020,126,188.0,38.0,103.0,5.0,3.0,145.0,31.0,353.0,143.0,42.0,249.0,72.0,470.0,260.0,,81.0,,242.0,201.0
ABOBO OUEST,1,2019,94.0,97.0,4.0,,1150,103,242.0,17.0,61.0,13.0,75.0,154.0,2.0,1074.0,398.0,199.0,317.0,10.0,3529.0,3588.0,,223.0,,2721.0,6458.0
ABOBO OUEST,2,2019,131.0,74.0,1.0,,911,104,388.0,20.0,67.0,18.0,72.0,143.0,1.0,757.0,1435.0,128.0,197.0,10.0,2594.0,3302.0,,106.0,,2093.0,4868.0
ABOBO OUEST,3,2019,143.0,90.0,5.0,1.0,935,68,197.0,19.0,48.0,6.0,50.0,226.0,5.0,925.0,481.0,76.0,531.0,13.0,4934.0,2162.0,,308.0,,4274.0,4008.0
ABOBO OUEST,4,2019,163.0,189.0,26.0,1.0,1019,131,204.0,12.0,49.0,10.0,53.0,329.0,27.0,1090.0,635.0,336.0,789.0,1500.0,4432.0,1721.0,,498.0,,3413.0,3979.0
ABOBO OUEST,5,2019,121.0,102.0,36.0,7.0,1046,115,251.0,18.0,59.0,9.0,68.0,206.0,125.0,953.0,1035.0,268.0,516.0,1621.0,3401.0,1223.0,,358.0,,2532.0,1199.0
ABOBO OUEST,6,2019,107.0,45.0,159.0,12.0,858,65,232.0,12.0,50.0,6.0,56.0,143.0,171.0,796.0,576.0,240.0,440.0,1360.0,2528.0,4286.0,,324.0,,1768.0,3736.0
ABOISSO,1,2019,167.0,73.0,24.0,5.0,973,235,122.0,28.0,,,,93.0,19.0,689.0,198.0,2.0,162.0,32.0,869.0,508.0,,209.0,,880.0,368.0
ABOISSO,2,2019,96.0,77.0,16.0,2.0,655,213,88.0,19.0,,1.0,1.0,68.0,13.0,434.0,206.0,2.0,114.0,20.0,436.0,428.0,,235.0,,689.0,389.0
ABOISSO,3,2019,147.0,109.0,22.0,8.0,718,172,109.0,24.0,,,,114.0,29.0,426.0,236.0,2.0,113.0,16.0,255.0,406.0,,217.0,,536.0,360.0
ABOISSO,4,2019,78.0,65.0,28.0,11.0,763,167,81.0,15.0,,,,78.0,46.0,575.0,203.0,2.0,136.0,226.0,758.0,588.0,,213.0,,723.0,565.0
ABOISSO,5,2019,142.0,60.0,32.0,7.0,738,179,94.0,23.0,13.0,1.0,,74.0,34.0,581.0,221.0,2.0,284.0,209.0,777.0,638.0,,354.0,,742.0,658.0
ABOISSO,6,2019,145.0,69.0,163.0,23.0,670,196,115.0,22.0,,,,62.0,172.0,596.0,168.0,2.0,115.0,355.0,630.0,594.0,,331.0,,814.0,655.0
ADIAKE,1,2019,,11.0,43.0,4.0,184,41,32.0,3.0,,,,11.0,44.0,148.0,121.0,5.0,17.0,46.0,140.0,173.0,,6.0,,88.0,19.0
ADIAKE,2,2019,,11.0,3.0,2.0,166,39,20.0,5.0,,,,11.0,5.0,147.0,84.0,5.0,16.0,5.0,110.0,121.0,,5.0,,94.0,51.0
ADIAKE,3,2019,,13.0,2.0,,205,35,21.0,2.0,,,,13.0,2.0,151.0,76.0,5.0,15.0,,117.0,126.0,,2.0,,49.0,82.0
ADIAKE,4,2019,,6.0,23.0,5.0,191,48,22.0,5.0,,,2.0,7.0,29.0,177.0,75.0,5.0,17.0,103.0,154.0,85.0,,10.0,,48.0,45.0
ADIAKE,5,2019,,11.0,53.0,6.0,177,33,36.0,10.0,,,,12.0,52.0,216.0,162.0,3.0,25.0,112.0,224.0,340.0,,13.0,,98.0,177.0
ADIAKE,6,2019,,10.0,31.0,3.0,200,48,18.0,4.0,,1.0,2.0,10.0,31.0,162.0,118.0,3.0,28.0,135.0,214.0,113.0,,18.0,,130.0,45.0
ADJAME-PLATEAU-ATTECOUBE,1,2019,499.0,123.0,214.0,14.0,1747,190,627.0,49.0,40.0,6.0,28.0,171.0,32.0,929.0,1631.0,48.0,454.0,51.0,1154.0,2127.0,,648.0,,1301.0,1884.0
ADJAME-PLATEAU-ATTECOUBE,2,2019,775.0,154.0,200.0,2.0,1822,133,600.0,23.0,52.0,7.0,21.0,221.0,50.0,987.0,782.0,108.0,586.0,83.0,1275.0,3284.0,,845.0,,972.0,2457.0
ADJAME-PLATEAU-ATTECOUBE,3,2019,325.0,146.0,25.0,3.0,872,226,286.0,23.0,34.0,5.0,23.0,143.0,51.0,1004.0,993.0,69.0,430.0,127.0,1670.0,1506.0,,702.0,,1045.0,1397.0
ADJAME-PLATEAU-ATTECOUBE,4,2019,334.0,165.0,38.0,10.0,770,132,267.0,27.0,24.0,11.0,17.0,143.0,42.0,872.0,812.0,71.0,354.0,307.0,1104.0,1302.0,,534.0,,603.0,776.0
ADJAME-PLATEAU-ATTECOUBE,5,2019,345.0,115.0,41.0,13.0,929,131,294.0,39.0,20.0,5.0,6.0,120.0,57.0,968.0,849.0,40.0,490.0,306.0,2306.0,1796.0,,534.0,,1384.0,1206.0
ADJAME-PLATEAU-ATTECOUBE,6,2019,352.0,140.0,44.0,21.0,817,137,219.0,37.0,27.0,7.0,12.0,162.0,151.0,891.0,690.0,37.0,437.0,538.0,1486.0,1407.0,,519.0,,1016.0,1348.0
ADZOPE,1,2019,,28.0,11.0,,360,59,49.0,16.0,6.0,2.0,2.0,86.0,11.0,409.0,178.0,8.0,95.0,36.0,561.0,182.0,,71.0,,391.0,589.0
ADZOPE,2,2019,14.0,98.0,6.0,2.0,269,101,44.0,9.0,3.0,10.0,13.0,110.0,8.0,370.0,108.0,3.0,173.0,27.0,411.0,290.0,,233.0,,1373.0,578.0
ADZOPE,3,2019,21.0,113.0,,,340,97,50.0,8.0,5.0,57.0,8.0,134.0,,413.0,166.0,,91.0,37.0,443.0,262.0,,163.0,,1249.0,700.0
ADZOPE,4,2019,11.0,88.0,58.0,5.0,366,76,61.0,12.0,4.0,2.0,3.0,139.0,57.0,457.0,198.0,,146.0,164.0,618.0,313.0,,181.0,,798.0,634.0
ADZOPE,5,2019,10.0,66.0,49.0,7.0,294,45,55.0,4.0,4.0,,,74.0,49.0,333.0,183.0,,98.0,12.0,320.0,104.0,,191.0,,647.0,564.0
ADZOPE,6,2019,16.0,57.0,57.0,1.0,325,45,46.0,2.0,5.0,,,73.0,58.0,363.0,136.0,,127.0,112.0,431.0,241.0,,183.0,,388.0,296.0
AGBOVILLE,1,2019,53.0,125.0,5.0,2.0,878,220,87.0,12.0,,5.0,8.0,132.0,21.0,994.0,318.0,70.0,169.0,61.0,1115.0,791.0,,87.0,,374.0,721.0
AGBOVILLE,2,2019,57.0,66.0,53.0,11.0,882,141,72.0,27.0,17.0,1.0,6.0,112.0,5.0,1028.0,332.0,9.0,104.0,17.0,1031.0,513.0,,84.0,,576.0,571.0
AGBOVILLE,3,2019,743.0,46.0,2.0,1.0,959,117,69.0,22.0,10.0,,1.0,78.0,3.0,1045.0,175.0,8.0,108.0,20.0,1070.0,192.0,,104.0,,285.0,449.0
AGBOVILLE,4,2019,65.0,77.0,44.0,9.0,858,135,106.0,10.0,6.0,,6.0,94.0,43.0,897.0,202.0,4.0,157.0,85.0,934.0,271.0,,84.0,,198.0,302.0
AGBOVILLE,5,2019,375.0,62.0,15.0,2.0,937,124,64.0,54.0,63.0,,5.0,126.0,19.0,979.0,323.0,11.0,142.0,87.0,1055.0,666.0,,313.0,,673.0,581.0
AGBOVILLE,6,2019,375.0,62.0,132.0,15.0,741,116,222.0,314.0,58.0,4.0,3.0,103.0,123.0,845.0,383.0,8.0,371.0,204.0,1144.0,644.0,,320.0,,447.0,576.0
AGNIBILEKROU,1,2019,60.0,37.0,,,313,72,70.0,12.0,,,,49.0,2.0,301.0,469.0,,87.0,2.0,392.0,320.0,,101.0,,276.0,302.0
AGNIBILEKROU,2,2019,77.0,21.0,1.0,,295,62,73.0,14.0,,,,43.0,1.0,348.0,146.0,,118.0,,345.0,252.0,,142.0,,223.0,272.0
AGNIBILEKROU,3,2019,77.0,29.0,8.0,,321,92,113.0,40.0,,,,41.0,,390.0,225.0,,75.0,,304.0,268.0,,114.0,,192.0,280.0
AGNIBILEKROU,4,2019,87.0,37.0,1.0,,355,59,93.0,27.0,,,,50.0,1.0,370.0,198.0,,77.0,,270.0,350.0,,105.0,,181.0,348.0
AGNIBILEKROU,5,2019,75.0,32.0,3.0,2.0,280,56,96.0,26.0,,,,37.0,5.0,292.0,139.0,,80.0,57.0,266.0,371.0,,116.0,,182.0,417.0
AGNIBILEKROU,6,2019,57.0,39.0,16.0,6.0,293,65,104.0,45.0,,,,50.0,4.0,304.0,435.0,,113.0,66.0,345.0,291.0,,42.0,,203.0,401.0
AKOUPE,1,2019,348.0,60.0,,,341,64,52.0,2.0,10.0,1.0,1.0,51.0,,261.0,139.0,9.0,78.0,,465.0,230.0,,34.0,,275.0,131.0
AKOUPE,2,2019,19.0,35.0,,,262,58,75.0,5.0,,1.0,,67.0,,208.0,87.0,9.0,59.0,,326.0,152.0,,19.0,,155.0,99.0
AKOUPE,3,2019,9.0,40.0,,,210,63,90.0,3.0,,,,28.0,,106.0,88.0,,38.0,,132.0,64.0,,10.0,,81.0,22.0
AKOUPE,4,2019,406.0,37.0,36.0,,269,36,92.0,3.0,10.0,1.0,,23.0,29.0,48.0,62.0,9.0,35.0,150.0,88.0,126.0,,12.0,,40.0,82.0
AKOUPE,5,2019,424.0,41.0,20.0,7.0,211,47,84.0,9.0,10.0,,,44.0,25.0,147.0,103.0,9.0,78.0,241.0,280.0,200.0,,34.0,,166.0,111.0
AKOUPE,6,2019,13.0,24.0,20.0,3.0,199,45,97.0,2.0,10.0,1.0,,2.0,5.0,26.0,59.0,,8.0,20.0,89.0,114.0,,,,38.0,55.0
ALEPE,1,2019,9.0,16.0,27.0,7.0,225,53,22.0,5.0,,4.0,2.0,15.0,25.0,185.0,12.0,10.0,25.0,31.0,223.0,80.0,,11.0,,343.0,78.0
ALEPE,2,2019,1.0,6.0,7.0,1.0,230,63,5.0,,2.0,,2.0,54.0,5.0,189.0,19.0,5.0,75.0,6.0,461.0,118.0,,21.0,,472.0,108.0
ALEPE,3,2019,,19.0,1.0,1.0,215,122,16.0,4.0,,2.0,2.0,11.0,2.0,201.0,14.0,5.0,15.0,,345.0,94.0,,4.0,,196.0,90.0
ALEPE,4,2019,9.0,54.0,7.0,1.0,295,65,45.0,3.0,,3.0,4.0,11.0,8.0,222.0,12.0,5.0,40.0,75.0,321.0,113.0,,30.0,,176.0,109.0
ALEPE,5,2019,2.0,22.0,12.0,1.0,273,45,17.0,,,2.0,2.0,10.0,15.0,184.0,8.0,5.0,40.0,,371.0,101.0,,30.0,,284.0,112.0
ALEPE,6,2019,80.0,23.0,9.0,,254,59,13.0,6.0,7.0,1.0,1.0,6.0,21.0,162.0,12.0,12.0,44.0,65.0,390.0,81.0,,58.0,,300.0,149.0
ANYAMA,1,2019,31.0,159.0,39.0,7.0,540,119,125.0,37.0,,6.0,6.0,116.0,44.0,611.0,371.0,15.0,114.0,10.0,538.0,376.0,,51.0,,319.0,312.0
ANYAMA,2,2019,4.0,74.0,1.0,,479,100,103.0,19.0,,11.0,1.0,39.0,,300.0,83.0,4.0,93.0,7.0,404.0,302.0,,78.0,,256.0,269.0
ANYAMA,3,2019,2.0,103.0,45.0,27.0,400,84,85.0,28.0,,4.0,,92.0,,363.0,191.0,5.0,138.0,7.0,289.0,191.0,,116.0,,290.0,301.0
ANYAMA,4,2019,,179.0,51.0,16.0,424,85,133.0,33.0,,11.0,6.0,125.0,113.0,274.0,327.0,7.0,201.0,144.0,172.0,429.0,,137.0,,292.0,369.0
ANYAMA,5,2019,,149.0,21.0,7.0,560,98,147.0,31.0,1.0,11.0,2.0,50.0,29.0,355.0,170.0,8.0,181.0,135.0,495.0,310.0,,164.0,,262.0,258.0
ANYAMA,6,2019,7.0,152.0,65.0,20.0,400,67,92.0,14.0,,3.0,5.0,126.0,60.0,310.0,201.0,12.0,215.0,82.0,465.0,335.0,,67.0,,472.0,253.0
ARRAH,1,2019,94.0,25.0,16.0,5.0,237,63,32.0,9.0,,,,30.0,,321.0,104.0,,25.0,,245.0,159.0,,27.0,,86.0,165.0
ARRAH,2,2019,94.0,15.0,,1.0,213,61,25.0,7.0,,,,15.0,,253.0,91.0,,35.0,,239.0,142.0,,27.0,,137.0,139.0
ARRAH,3,2019,96.0,48.0,,,263,52,32.0,6.0,,4.0,,25.0,,319.0,88.0,,32.0,10.0,284.0,175.0,,54.0,,139.0,177.0
ARRAH,4,2019,96.0,23.0,13.0,1.0,230,51,37.0,3.0,,,,23.0,14.0,279.0,108.0,,41.0,110.0,242.0,235.0,,57.0,,109.0,154.0
ARRAH,5,2019,96.0,22.0,30.0,6.0,222,66,35.0,6.0,,1.0,,23.0,20.0,301.0,90.0,,29.0,106.0,184.0,101.0,,35.0,,56.0,80.0
ARRAH,6,2019,96.0,14.0,24.0,10.0,221,46,30.0,5.0,,,,14.0,34.0,220.0,99.0,,28.0,39.0,283.0,214.0,,8.0,,105.0,193.0
BANGOLO,1,2019,146.0,27.0,,,249,76,2.0,3.0,,,1.0,26.0,,215.0,4.0,,23.0,5.0,208.0,2.0,,32.0,,104.0,7.0
BANGOLO,2,2019,173.0,22.0,,,227,79,3.0,,,,,21.0,,192.0,2.0,,29.0,5.0,270.0,,,33.0,,162.0,
BANGOLO,3,2019,170.0,38.0,1.0,9.0,222,87,3.0,,,,,30.0,10.0,200.0,5.0,,41.0,,208.0,5.0,,32.0,,123.0,
BANGOLO,4,2019,29.0,30.0,,,182,70,1.0,,,,,26.0,,175.0,1.0,,42.0,4.0,245.0,,,41.0,,126.0,2.0
BANGOLO,5,2019,8.0,29.0,,,176,79,1.0,,,,,27.0,,201.0,1.0,,50.0,4.0,243.0,4.0,,67.0,,115.0,5.0
BANGOLO,6,2019,98.0,21.0,,,176,65,1.0,2.0,,,,21.0,,195.0,9.0,,43.0,4.0,260.0,12.0,,50.0,,151.0,5.0
BEOUMI,1,2019,75.0,31.0,22.0,9.0,347,33,22.0,5.0,,,,26.0,29.0,165.0,48.0,,49.0,436.0,510.0,70.0,,275.0,,550.0,2350.0
BEOUMI,2,2019,12.0,39.0,,,186,78,49.0,7.0,,,,34.0,2.0,167.0,211.0,2.0,72.0,4.0,157.0,1522.0,,273.0,,483.0,1680.0
BEOUMI,3,2019,73.0,147.0,,1.0,210,206,55.0,44.0,,,,75.0,1.0,260.0,484.0,2.0,56.0,19.0,274.0,1465.0,,280.0,,585.0,1554.0
BEOUMI,4,2019,13.0,50.0,8.0,6.0,224,111,29.0,23.0,,,,57.0,14.0,239.0,253.0,,45.0,75.0,245.0,1175.0,,233.0,,544.0,1314.0
BEOUMI,5,2019,10.0,188.0,11.0,7.0,237,120,31.0,13.0,,,10.0,151.0,15.0,272.0,234.0,16.0,190.0,63.0,450.0,766.0,,266.0,,636.0,942.0
BEOUMI,6,2019,3.0,64.0,38.0,26.0,242,80,34.0,13.0,,,,51.0,63.0,293.0,533.0,,83.0,71.0,212.0,502.0,,277.0,,530.0,821.0
BETTIE,1,2019,102.0,12.0,213.0,10.0,528,48,91.0,7.0,,,,7.0,25.0,48.0,30.0,,40.0,70.0,225.0,423.0,,63.0,,234.0,598.0
BETTIE,2,2019,50.0,12.0,202.0,2.0,501,48,85.0,7.0,,,,8.0,11.0,86.0,41.0,,,,25.0,159.0,,68.0,,205.0,493.0
BETTIE,3,2019,112.0,15.0,183.0,2.0,535,46,78.0,9.0,,,,11.0,1.0,59.0,85.0,,10.0,100.0,50.0,198.0,,56.0,,208.0,480.0
BETTIE,4,2019,79.0,16.0,196.0,11.0,552,52,75.0,12.0,,,,6.0,32.0,98.0,29.0,,9.0,200.0,60.0,129.0,,59.0,,212.0,325.0
BETTIE,5,2019,119.0,14.0,187.0,13.0,562,40,74.0,14.0,,,,15.0,42.0,69.0,35.0,,18.0,90.0,110.0,173.0,,61.0,,250.0,465.0
BETTIE,6,2019,125.0,13.0,199.0,11.0,588,45,80.0,7.0,,,,13.0,40.0,81.0,45.0,,,70.0,60.0,132.0,,55.0,,260.0,425.0
BIANKOUMA,1,2019,208.0,70.0,229.0,2.0,198,130,9.0,2.0,,,,69.0,,276.0,2.0,,83.0,13.0,449.0,8.0,,57.0,,289.0,14.0
BIANKOUMA,2,2019,323.0,51.0,72.0,14.0,435,93,11.0,1.0,13.0,3.0,,51.0,,274.0,3.0,,47.0,,400.0,33.0,,20.0,,250.0,21.0
BIANKOUMA,3,2019,355.0,33.0,10.0,3.0,450,105,12.0,7.0,1.0,7.0,,35.0,1.0,216.0,15.0,,85.0,100.0,340.0,40.0,,63.0,,266.0,128.0
BIANKOUMA,4,2019,3.0,56.0,1.0,6.0,165,111,1.0,,,,,46.0,5.0,251.0,,,115.0,,356.0,10.0,,99.0,,243.0,51.0
BIANKOUMA,5,2019,112.0,52.0,54.0,1.0,376,90,9.0,1.0,,,,26.0,,238.0,2.0,,54.0,,378.0,7.0,,86.0,,234.0,11.0
BIANKOUMA,6,2019,191.0,43.0,50.0,1.0,390,64,12.0,,,,,38.0,5.0,228.0,4.0,,87.0,,380.0,7.0,,14.0,,230.0,10.0
BLOLEQUIN,1,2019,562.0,64.0,3.0,,503,137,29.0,19.0,33.0,30.0,32.0,29.0,2.0,291.0,27.0,17.0,34.0,6.0,230.0,95.0,,39.0,,178.0,87.0
BLOLEQUIN,2,2019,82.0,37.0,2.0,1.0,337,125,32.0,14.0,498.0,12.0,10.0,23.0,2.0,228.0,23.0,24.0,40.0,12.0,258.0,184.0,,64.0,,181.0,193.0
BLOLEQUIN,3,2019,636.0,47.0,,3.0,365,372,30.0,17.0,,,,58.0,3.0,441.0,47.0,,99.0,23.0,552.0,52.0,,79.0,,246.0,50.0
BLOLEQUIN,4,2019,609.0,53.0,,1.0,452,509,41.0,17.0,,,,64.0,1.0,274.0,41.0,,108.0,10.0,461.0,156.0,,102.0,,366.0,122.0
BLOLEQUIN,5,2019,749.0,60.0,1.0,3.0,803,286,55.0,12.0,,,,53.0,4.0,281.0,29.0,,160.0,5.0,233.0,80.0,,137.0,,283.0,104.0
BLOLEQUIN,6,2019,1176.0,52.0,,1.0,834,171,54.0,13.0,,1.0,1.0,35.0,1.0,212.0,30.0,1.0,79.0,6.0,177.0,44.0,,133.0,,265.0,94.0
BOCANDA,1,2019,8.0,11.0,72.0,,376,78,13.0,6.0,,,,2.0,7.0,207.0,529.0,2.0,2.0,5.0,190.0,121.0,,4.0,,127.0,503.0
BOCANDA,2,2019,4.0,8.0,69.0,,410,55,19.0,5.0,,,,1.0,2.0,154.0,262.0,2.0,34.0,,178.0,1575.0,,33.0,,114.0,1755.0
BOCANDA,3,2019,3.0,11.0,2.0,,126,76,13.0,7.0,,,,17.0,2.0,205.0,1080.0,2.0,13.0,10.0,176.0,61.0,,28.0,,81.0,689.0
BOCANDA,4,2019,,8.0,14.0,7.0,203,64,15.0,12.0,,5.0,,6.0,14.0,181.0,317.0,2.0,5.0,25.0,218.0,53.0,,25.0,,130.0,396.0
BOCANDA,5,2019,3.0,17.0,8.0,4.0,177,80,14.0,5.0,,,,12.0,12.0,303.0,771.0,2.0,5.0,20.0,318.0,1546.0,,12.0,,140.0,1126.0
BOCANDA,6,2019,7.0,7.0,30.0,14.0,142,35,17.0,7.0,,,,6.0,20.0,208.0,268.0,2.0,19.0,32.0,246.0,1545.0,,27.0,,155.0,2387.0
BONDOUKOU,1,2019,580.0,74.0,56.0,2.0,1263,289,234.0,80.0,,1.0,6.0,74.0,36.0,996.0,1470.0,42.0,280.0,80.0,1255.0,767.0,,551.0,,883.0,982.0
BONDOUKOU,2,2019,323.0,95.0,8.0,1.0,958,321,262.0,109.0,6.0,,3.0,100.0,99.0,933.0,1626.0,9.0,299.0,54.0,1472.0,2187.0,,430.0,,1005.0,1372.0
BONDOUKOU,3,2019,380.0,503.0,8.0,18.0,1147,517,236.0,122.0,1.0,4.0,2.0,370.0,31.0,1199.0,1246.0,11.0,381.0,139.0,2350.0,1912.0,,309.0,,1664.0,2253.0
BONDOUKOU,4,2019,555.0,230.0,34.0,12.0,1108,366,247.0,68.0,4.0,,,407.0,39.0,1171.0,1466.0,9.0,777.0,177.0,1868.0,1322.0,,486.0,,1192.0,1290.0
BONDOUKOU,5,2019,581.0,230.0,7.0,23.0,1209,383,270.0,90.0,43.0,1.0,1.0,181.0,17.0,1181.0,2019.0,8.0,2333.0,266.0,1865.0,1856.0,,665.0,,1004.0,1128.0
BONDOUKOU,6,2019,767.0,83.0,15.0,6.0,1160,312,227.0,82.0,,5.0,1.0,97.0,13.0,1060.0,1060.0,7.0,608.0,264.0,2033.0,1104.0,,369.0,,1280.0,980.0
BONGOUANOU,1,2019,100.0,15.0,,7.0,249,108,27.0,21.0,,,,12.0,,316.0,56.0,,25.0,,293.0,110.0,,42.0,,115.0,320.0
BONGOUANOU,2,2019,69.0,22.0,,,268,71,22.0,15.0,,,,23.0,,308.0,1417.0,,22.0,,366.0,2454.0,,31.0,,125.0,1357.0
BONGOUANOU,3,2019,1.0,17.0,,,292,82,18.0,20.0,,,,17.0,,359.0,454.0,,54.0,,390.0,136.0,,45.0,,144.0,94.0
BONGOUANOU,4,2019,64.0,15.0,2.0,4.0,295,89,31.0,15.0,,,,18.0,6.0,363.0,161.0,,46.0,30.0,343.0,379.0,,44.0,,93.0,269.0
BONGOUANOU,5,2019,,16.0,9.0,1.0,187,110,24.0,14.0,,,,16.0,10.0,253.0,220.0,,53.0,20.0,247.0,710.0,,41.0,,82.0,535.0
