district,month,year,implant_women_old,implant_women_new,injection2_women_old,injection2_women_new,injection3_women_old,injection3_women_new,pill_women_old,pill_women_new,iud_women_old,iud_women_new,iud_number_dispensed,implant_number_dispensed,injection2_number_dispensed,injection3_number_dispensed,pill_number_dispensed,iud_number_received,implant_number_received,injection2_number_received,injection3_number_received,pill_number_received,iud_stock_end,implant_stock_end,injection2_stock_end,injection3_stock_end,pill_stock_end
BONGOUANOU,6,2019,63.0,22.0,8.0,4.0,280,62,26.0,27.0,,,,21.0,10.0,303.0,374.0,,34.0,20.0,549.0,522.0,,,,132.0,409.0
BOTRO,1,2019,52.0,10.0,,,114,31,20.0,1.0,,,1.0,16.0,,76.0,35.0,,37.0,6.0,108.0,130.0,,51.0,,93.0,127.0
BOTRO,2,2019,9.0,151.0,1.0,3.0,71,47,11.0,8.0,,1.0,,77.0,4.0,73.0,28.0,,114.0,,132.0,89.0,,78.0,,96.0,127.0
BOTRO,3,2019,124.0,238.0,9.0,,134,89,14.0,5.0,3.0,,2.0,41.0,9.0,70.0,200.0,,72.0,,166.0,49.0,,55.0,,127.0,65.0
BOTRO,4,2019,27.0,61.0,10.0,3.0,114,36,22.0,4.0,1.0,,1.0,9.0,,41.0,25.0,5.0,34.0,,91.0,71.0,,40.0,,74.0,54.0
BOTRO,5,2019,1.0,61.0,7.0,1.0,146,33,12.0,4.0,,,,9.0,,55.0,38.0,,25.0,,90.0,52.0,,37.0,,87.0,66.0
BOTRO,6,2019,21.0,69.0,15.0,1.0,141,28,14.0,6.0,1.0,2.0,,12.0,7.0,18.0,25.0,5.0,26.0,14.0,7.0,10.0,,16.0,,11.0,44.0
BOUAFLE,1,2019,31.0,291.0,52.0,5.0,1247,282,243.0,33.0,2.0,26.0,24.0,293.0,51.0,1310.0,1084.0,18.0,234.0,17.0,1191.0,1672.0,,421.0,,1542.0,2268.0
BOUAFLE,2,2019,115.0,774.0,36.0,3.0,1000,311,157.0,14.0,2.0,18.0,20.0,281.0,39.0,1175.0,492.0,44.0,633.0,19.0,1405.0,1732.0,,686.0,,1634.0,5115.0
BOUAFLE,3,2019,21.0,1018.0,20.0,8.0,1021,437,135.0,30.0,1.0,18.0,14.0,484.0,28.0,1456.0,671.0,22.0,711.0,55.0,1728.0,433.0,,924.0,,1200.0,1975.0
BOUAFLE,4,2019,10.0,290.0,24.0,7.0,1115,297,165.0,38.0,,8.0,8.0,249.0,31.0,1277.0,474.0,8.0,183.0,206.0,1112.0,699.0,,868.0,,930.0,1789.0
BOUAFLE,5,2019,5.0,483.0,41.0,10.0,1064,414,202.0,36.0,,22.0,22.0,453.0,52.0,1455.0,884.0,155.0,331.0,58.0,1220.0,1118.0,,871.0,,946.0,1263.0
BOUAFLE,6,2019,9.0,233.0,29.0,8.0,1098,364,153.0,11.0,,16.0,16.0,199.0,37.0,1439.0,401.0,21.0,254.0,39.0,1790.0,501.0,,547.0,,1556.0,1014.0
BOUAKE NORD-EST,1,2019,63.0,185.0,34.0,2.0,525,144,91.0,32.0,,,,37.0,15.0,439.0,168.0,,56.0,1.0,286.0,122.0,,54.0,,208.0,264.0
BOUAKE NORD-EST,2,2019,119.0,213.0,21.0,,417,136,108.0,36.0,3.0,1.0,1.0,175.0,2.0,228.0,187.0,1.0,168.0,1.0,164.0,126.0,,57.0,,98.0,167.0
BOUAKE NORD-EST,3,2019,42.0,24.0,35.0,3.0,414,114,100.0,16.0,,,,26.0,8.0,332.0,216.0,10.0,84.0,281.0,460.0,234.0,,115.0,,246.0,165.0
BOUAKE NORD-EST,4,2019,71.0,135.0,78.0,13.0,422,85,107.0,17.0,2.0,4.0,1.0,44.0,61.0,476.0,200.0,,36.0,134.0,500.0,230.0,,74.0,,238.0,174.0
BOUAKE NORD-EST,5,2019,58.0,118.0,57.0,14.0,414,96,127.0,11.0,1.0,2.0,,85.0,41.0,429.0,196.0,,81.0,10.0,488.0,377.0,,113.0,,386.0,383.0
BOUAKE NORD-EST,6,2019,158.0,215.0,123.0,12.0,426,90,130.0,14.0,1.0,8.0,6.0,170.0,89.0,388.0,342.0,6.0,176.0,155.0,380.0,277.0,,94.0,,346.0,295.0
BOUAKE NORD-OUEST,1,2019,640.0,391.0,54.0,1.0,535,241,134.0,45.0,,,,343.0,1.0,461.0,201.0,,289.0,,349.0,213.0,,155.0,,1036.0,771.0
BOUAKE NORD-OUEST,2,2019,331.0,91.0,42.0,,564,86,130.0,21.0,,,,79.0,,234.0,125.0,,107.0,,254.0,235.0,,151.0,,907.0,798.0
BOUAKE NORD-OUEST,3,2019,649.0,399.0,40.0,1.0,616,166,136.0,21.0,,,,337.0,1.0,479.0,157.0,,324.0,25.0,325.0,59.0,,128.0,,838.0,619.0
BOUAKE NORD-OUEST,4,2019,1.0,141.0,6.0,18.0,373,123,76.0,14.0,,,,118.0,24.0,304.0,138.0,,97.0,52.0,203.0,109.0,,93.0,,74.0,91.0
BOUAKE NORD-OUEST,5,2019,3.0,91.0,29.0,14.0,379,106,90.0,17.0,,,,,,,,,,,,,,,,,
BOUAKE NORD-OUEST,6,2019,7.0,67.0,65.0,18.0,332,78,68.0,25.0,,,,50.0,82.0,259.0,146.0,,48.0,76.0,225.0,150.0,,,,36.0,61.0
BOUAKE-SUD,1,2019,652.0,411.0,12.0,8.0,508,229,199.0,114.0,7.0,2.0,,114.0,13.0,287.0,100.0,111.0,171.0,20.0,285.0,170.0,,252.0,,589.0,1058.0
BOUAKE-SUD,2,2019,381.0,138.0,11.0,,493,181,346.0,86.0,5.0,6.0,,158.0,11.0,286.0,180.0,100.0,242.0,10.0,532.0,856.0,,382.0,,699.0,384.0
BOUAKE-SUD,3,2019,441.0,190.0,2.0,5.0,626,178,202.0,76.0,9.0,6.0,2.0,99.0,8.0,246.0,121.0,91.0,261.0,50.0,564.0,194.0,,345.0,,837.0,846.0
BOUAKE-SUD,4,2019,507.0,151.0,9.0,3.0,657,153,143.0,26.0,4.0,15.0,1.0,100.0,11.0,345.0,258.0,100.0,237.0,71.0,468.0,281.0,,319.0,,571.0,806.0
BOUAKE-SUD,5,2019,493.0,106.0,45.0,19.0,806,122,230.0,19.0,8.0,4.0,1.0,129.0,56.0,405.0,439.0,71.0,112.0,273.0,461.0,412.0,,287.0,,529.0,837.0
BOUAKE-SUD,6,2019,125.0,134.0,46.0,11.0,709,123,185.0,93.0,9.0,2.0,1.0,113.0,18.0,316.0,132.0,,65.0,46.0,299.0,283.0,,105.0,,427.0,809.0
BOUNA,1,2019,18.0,28.0,5.0,,330,163,26.0,27.0,1.0,,,38.0,3.0,472.0,140.0,,53.0,26.0,580.0,139.0,,85.0,,278.0,95.0
BOUNA,2,2019,6.0,20.0,,1.0,234,136,5.0,,,,,14.0,1.0,338.0,60.0,6.0,75.0,22.0,471.0,39.0,,53.0,,188.0,31.0
BOUNA,3,2019,5.0,60.0,,2.0,333,168,6.0,2.0,,1.0,1.0,58.0,2.0,482.0,50.0,200.0,111.0,112.0,587.0,80.0,,85.0,,324.0,71.0
BOUNA,4,2019,41.0,41.0,9.0,1.0,313,165,11.0,1.0,,,,50.0,20.0,425.0,204.0,,104.0,19.0,616.0,279.0,,113.0,,290.0,120.0
BOUNA,5,2019,16.0,41.0,9.0,1.0,329,154,11.0,7.0,,,,39.0,30.0,473.0,113.0,,86.0,115.0,631.0,165.0,,103.0,,246.0,65.0
BOUNA,6,2019,17.0,32.0,11.0,4.0,367,152,29.0,3.0,,1.0,,36.0,14.0,499.0,256.0,,102.0,15.0,641.0,1063.0,,111.0,,256.0,831.0
BOUNDIALI,1,2019,4.0,56.0,15.0,4.0,248,88,13.0,14.0,10.0,,,63.0,21.0,308.0,21.0,,95.0,,470.0,12.0,,205.0,,532.0,52.0
BOUNDIALI,2,2019,,55.0,19.0,7.0,234,104,14.0,13.0,,,,54.0,26.0,337.0,12.0,,79.0,,371.0,12.0,,174.0,,465.0,
BOUNDIALI,3,2019,,68.0,15.0,5.0,243,135,3.0,,,,,69.0,20.0,362.0,,,99.0,,417.0,,,158.0,,324.0,
BOUNDIALI,4,2019,,77.0,8.0,8.0,278,142,78.0,3.0,,2.0,,77.0,17.0,411.0,15.0,2.0,70.0,25.0,371.0,3.0,,138.0,,354.0,3.0
BOUNDIALI,5,2019,,58.0,12.0,2.0,274,123,16.0,2.0,,,,56.0,14.0,377.0,6.0,,104.0,14.0,434.0,21.0,,155.0,,306.0,15.0
BOUNDIALI,6,2019,20.0,70.0,15.0,11.0,303,146,102.0,2.0,,,,71.0,26.0,402.0,17.0,,97.0,51.0,431.0,,,63.0,,309.0,
BUYO,1,2019,175.0,53.0,10.0,3.0,190,109,20.0,7.0,,,,52.0,9.0,277.0,151.0,,138.0,175.0,267.0,111.0,,153.0,,285.0,123.0
BUYO,2,2019,174.0,29.0,6.0,2.0,196,85,15.0,1.0,,,,34.0,2.0,250.0,53.0,,139.0,13.0,348.0,236.0,,272.0,,290.0,216.0
BUYO,3,2019,174.0,26.0,13.0,4.0,189,102,24.0,7.0,,,,26.0,10.0,257.0,118.0,,140.0,90.0,407.0,268.0,,263.0,,336.0,143.0
BUYO,4,2019,179.0,42.0,6.0,10.0,213,58,13.0,,,,,39.0,16.0,238.0,130.0,,141.0,92.0,394.0,351.0,,237.0,,325.0,230.0
BUYO,5,2019,181.0,18.0,11.0,4.0,213,69,17.0,4.0,,,,18.0,15.0,270.0,175.0,,145.0,65.0,436.0,354.0,,167.0,,301.0,204.0
BUYO,6,2019,149.0,22.0,17.0,7.0,220,69,21.0,10.0,,,,24.0,24.0,275.0,184.0,,145.0,99.0,390.0,387.0,,63.0,,221.0,218.0
COCODY BINGERVILLE,1,2019,401.0,133.0,111.0,36.0,1546,330,347.0,69.0,54.0,22.0,44.0,201.0,134.0,1563.0,1496.0,81.0,211.0,485.0,1353.0,1240.0,,203.0,,961.0,1671.0
COCODY BINGERVILLE,2,2019,411.0,103.0,60.0,15.0,1405,243,321.0,52.0,52.0,14.0,17.0,152.0,115.0,1067.0,1018.0,58.0,409.0,509.0,1327.0,1024.0,,382.0,,903.0,1214.0
COCODY BINGERVILLE,3,2019,387.0,175.0,56.0,12.0,1539,360,398.0,59.0,58.0,13.0,71.0,198.0,69.0,1125.0,1246.0,55.0,314.0,1114.0,1481.0,1471.0,,331.0,,1101.0,1301.0
COCODY BINGERVILLE,4,2019,408.0,117.0,310.0,96.0,1421,185,362.0,50.0,55.0,35.0,38.0,142.0,395.0,1215.0,958.0,58.0,232.0,1203.0,1914.0,1917.0,,209.0,,1735.0,2158.0
COCODY BINGERVILLE,5,2019,386.0,111.0,312.0,71.0,1560,168,362.0,44.0,63.0,22.0,40.0,162.0,425.0,1186.0,901.0,54.0,192.0,441.0,952.0,1345.0,,232.0,,1372.0,1790.0
COCODY BINGERVILLE,6,2019,400.0,109.0,316.0,61.0,1224,248,328.0,37.0,60.0,20.0,22.0,155.0,387.0,1162.0,1066.0,54.0,214.0,544.0,996.0,1223.0,,268.0,,1178.0,1171.0
DABAKALA,1,2019,21.0,54.0,,,436,186,26.0,6.0,,,,53.0,,689.0,96.0,,135.0,,860.0,211.0,,134.0,,335.0,233.0
DABAKALA,2,2019,5.0,40.0,,,462,191,22.0,14.0,,8.0,,50.0,,589.0,51.0,11.0,124.0,,635.0,176.0,,129.0,,382.0,255.0
DABAKALA,3,2019,19.0,58.0,,,538,180,16.0,13.0,,,,71.0,,638.0,88.0,6.0,151.0,,832.0,201.0,,133.0,,419.0,241.0
DABAKALA,4,2019,2.0,81.0,,12.0,493,217,24.0,2.0,,,1.0,82.0,12.0,658.0,62.0,10.0,146.0,,528.0,139.0,,94.0,,217.0,191.0
DABAKALA,5,2019,5.0,50.0,,,505,182,25.0,7.0,,,,68.0,,687.0,150.0,,180.0,,949.0,304.0,,126.0,,364.0,277.0
DABAKALA,6,2019,443.0,75.0,,,1017,241,77.0,7.0,1.0,,,75.0,,715.0,70.0,,86.0,,815.0,18.0,,22.0,,378.0,75.0
DABOU,1,2019,5.0,99.0,36.0,3.0,544,121,48.0,2.0,,2.0,11.0,100.0,40.0,665.0,156.0,5.0,174.0,36.0,1036.0,393.0,,168.0,,940.0,1006.0
DABOU,2,2019,7.0,86.0,11.0,,372,77,44.0,4.0,,,,96.0,1.0,505.0,130.0,12.0,72.0,15.0,371.0,77.0,,115.0,,590.0,848.0
DABOU,3,2019,4.0,83.0,46.0,7.0,374,138,33.0,6.0,,,,84.0,25.0,530.0,136.0,5.0,130.0,143.0,542.0,534.0,,121.0,,556.0,1138.0
DABOU,4,2019,4.0,78.0,24.0,13.0,502,87,31.0,5.0,,,,84.0,40.0,584.0,131.0,5.0,117.0,45.0,623.0,577.0,,142.0,,501.0,520.0
DABOU,5,2019,22.0,79.0,105.0,19.0,389,72,44.0,8.0,,,,92.0,120.0,452.0,184.0,11.0,95.0,334.0,501.0,366.0,,139.0,,653.0,1131.0
DABOU,6,2019,7.0,85.0,38.0,15.0,412,89,38.0,9.0,,2.0,,82.0,57.0,440.0,304.0,16.0,133.0,152.0,623.0,705.0,,80.0,,449.0,1099.0
DALOA,1,2019,509.0,294.0,97.0,32.0,1234,272,170.0,16.0,30.0,17.0,25.0,188.0,6.0,778.0,248.0,5.0,166.0,,722.0,238.0,,255.0,,930.0,251.0
DALOA,2,2019,267.0,438.0,24.0,22.0,1303,228,201.0,24.0,20.0,35.0,22.0,218.0,,1066.0,601.0,5.0,344.0,,440.0,201.0,,362.0,,797.0,134.0
DALOA,3,2019,231.0,1344.0,15.0,10.0,1485,504,162.0,71.0,19.0,75.0,51.0,740.0,20.0,940.0,579.0,18.0,646.0,120.0,607.0,462.0,,350.0,,737.0,401.0
DALOA,4,2019,947.0,721.0,21.0,34.0,1317,381,73.0,79.0,48.0,99.0,38.0,492.0,50.0,823.0,381.0,28.0,206.0,123.0,537.0,351.0,,354.0,,687.0,314.0
DALOA,5,2019,1012.0,430.0,44.0,22.0,996,198,219.0,38.0,81.0,15.0,26.0,245.0,42.0,908.0,661.0,20.0,336.0,335.0,1298.0,281.0,,475.0,,1195.0,281.0
DALOA,6,2019,1091.0,364.0,34.0,46.0,941,175,71.0,18.0,49.0,19.0,22.0,369.0,74.0,883.0,592.0,8.0,429.0,124.0,728.0,311.0,,296.0,,1212.0,300.0
DANANE,1,2019,580.0,55.0,5.0,1.0,2057,168,90.0,3.0,18.0,,,40.0,,260.0,7.0,5.0,43.0,,390.0,40.0,,71.0,,264.0,46.0
DANANE,2,2019,643.0,116.0,1259.0,19.0,1055,91,93.0,4.0,41.0,3.0,,39.0,,275.0,30.0,5.0,58.0,,302.0,63.0,,72.0,,203.0,39.0
DANANE,3,2019,812.0,52.0,6.0,,2429,97,106.0,4.0,,,,42.0,,205.0,29.0,,120.0,,483.0,58.0,,116.0,,363.0,32.0
DANANE,4,2019,730.0,45.0,232.0,10.0,2443,101,104.0,5.0,,,,46.0,,211.0,23.0,2.0,92.0,,268.0,48.0,,106.0,,245.0,25.0
DANANE,5,2019,415.0,46.0,2.0,,2408,119,142.0,6.0,1.0,,,34.0,,257.0,34.0,2.0,123.0,,430.0,61.0,,117.0,,292.0,21.0
DANANE,6,2019,439.0,34.0,10.0,,2534,84,109.0,7.0,,,,40.0,4.0,276.0,27.0,10.0,89.0,4.0,310.0,37.0,,6.0,,165.0,27.0
DAOUKRO,1,2019,,37.0,24.0,4.0,336,147,279.0,39.0,,,,35.0,29.0,277.0,337.0,,75.0,16.0,364.0,471.0,,96.0,,150.0,327.0
DAOUKRO,2,2019,,34.0,9.0,6.0,335,124,98.0,29.0,,1.0,,41.0,38.0,343.0,329.0,,47.0,9.0,369.0,418.0,,225.0,,530.0,316.0
DAOUKRO,3,2019,93.0,61.0,16.0,9.0,319,102,176.0,46.0,,,48.0,55.0,43.0,258.0,299.0,,65.0,19.0,243.0,449.0,,195.0,,430.0,360.0
DAOUKRO,4,2019,101.0,42.0,27.0,8.0,339,132,136.0,33.0,,,,25.0,64.0,315.0,165.0,,39.0,40.0,338.0,203.0,,148.0,,448.0,194.0
DAOUKRO,5,2019,,94.0,34.0,16.0,348,138,83.0,45.0,,,,96.0,23.0,361.0,274.0,,49.0,128.0,648.0,330.0,,105.0,,313.0,171.0
DAOUKRO,6,2019,8.0,44.0,48.0,10.0,317,215,92.0,81.0,3.0,3.0,,50.0,61.0,360.0,279.0,,195.0,106.0,364.0,348.0,,15.0,,307.0,283.0
DIANRA,1,2019,2.0,18.0,6.0,,62,23,4.0,,,,,3.0,,37.0,4.0,,32.0,23.0,78.0,5.0,,29.0,,35.0,1.0
DIANRA,2,2019,,28.0,7.0,9.0,31,27,,,,,,18.0,15.0,18.0,,,37.0,27.0,66.0,300.0,,19.0,,48.0,300.0
DIANRA,3,2019,,19.0,,,56,41,,1.0,,,,18.0,8.0,47.0,,,45.0,8.0,72.0,,,26.0,,42.0,
DIANRA,4,2019,2.0,28.0,1.0,,52,62,,,,,,4.0,,25.0,,,28.0,,20.0,9.0,,12.0,,15.0,9.0
DIANRA,5,2019,4.0,39.0,17.0,10.0,43,17,,3.0,,,,11.0,,25.0,3.0,,43.0,,29.0,24.0,,32.0,,14.0,21.0
DIANRA,6,2019,5.0,30.0,,5.0,86,28,,148.0,,,,11.0,,16.0,11.0,,31.0,,31.0,21.0,,21.0,,12.0,10.0
DIDIEVI,1,2019,474.0,10.0,4.0,,1028,41,132.0,5.0,,,,18.0,3.0,168.0,32.0,,20.0,6.0,255.0,92.0,,40.0,,209.0,145.0
DIDIEVI,2,2019,483.0,6.0,1.0,,1066,44,137.0,5.0,,,,5.0,,111.0,54.0,,16.0,3.0,223.0,86.0,,43.0,,182.0,130.0
DIDIEVI,3,2019,401.0,9.0,4.0,,1017,62,141.0,6.0,,,,8.0,3.0,92.0,68.0,6.0,24.0,60.0,296.0,165.0,,38.0,,259.0,189.0
DIDIEVI,4,2019,487.0,17.0,2.0,,1139,87,150.0,8.0,,,,12.0,1.0,145.0,42.0,,24.0,,152.0,82.0,,33.0,,158.0,119.0
DIDIEVI,5,2019,509.0,22.0,2.0,,1138,65,158.0,7.0,,,,26.0,1.0,164.0,68.0,,30.0,39.0,142.0,84.0,,39.0,,111.0,139.0
DIDIEVI,6,2019,522.0,14.0,5.0,1.0,1219,53,166.0,9.0,7.0,,,14.0,,132.0,79.0,,26.0,16.0,230.0,137.0,,22.0,,167.0,126.0
DIKODOUGOU,1,2019,5.0,7.0,5.0,4.0,68,28,,,,,,12.0,9.0,96.0,1.0,,25.0,16.0,158.0,10.0,,26.0,,113.0,29.0
DIKODOUGOU,2,2019,2.0,15.0,5.0,2.0,86,36,,1.0,,2.0,,17.0,7.0,122.0,8.0,,33.0,10.0,181.0,36.0,,26.0,,85.0,29.0
DIKODOUGOU,3,2019,1.0,7.0,,,71,29,,,,,,7.0,,104.0,,,28.0,,217.0,,,38.0,,132.0,1.0
DIKODOUGOU,4,2019,7.0,15.0,1.0,3.0,71,41,,,,,,12.0,4.0,115.0,1.0,,41.0,11.0,207.0,19.0,,32.0,,112.0,18.0
DIKODOUGOU,5,2019,1.0,23.0,1.0,,98,26,,,,,,18.0,1.0,124.0,4.0,,18.0,10.0,172.0,15.0,,23.0,,123.0,12.0
DIKODOUGOU,6,2019,2.0,13.0,2.0,1.0,103,37,,1.0,,,,16.0,3.0,140.0,2.0,,14.0,,189.0,,,18.0,,90.0,11.0
DIMBOKRO,1,2019,12.0,34.0,2.0,1.0,255,71,83.0,13.0,1.0,2.0,,50.0,3.0,332.0,165.0,,74.0,,296.0,265.0,,54.0,,140.0,157.0
DIMBOKRO,2,2019,9.0,40.0,2.0,1.0,249,61,74.0,12.0,1.0,7.0,,49.0,3.0,311.0,124.0,,51.0,,378.0,171.0,,59.0,,191.0,158.0
DIMBOKRO,3,2019,15.0,67.0,,,298,56,58.0,11.0,1.0,5.0,,30.0,,345.0,129.0,,67.0,,399.0,193.0,,62.0,,198.0,724.0
DIMBOKRO,4,2019,31.0,32.0,2.0,3.0,250,33,51.0,5.0,,4.0,,41.0,6.0,289.0,129.0,,67.0,60.0,372.0,132.0,,70.0,,185.0,133.0
DIMBOKRO,5,2019,11.0,43.0,9.0,4.0,303,67,59.0,23.0,2.0,5.0,1.0,54.0,13.0,376.0,220.0,,77.0,49.0,502.0,228.0,,57.0,,245.0,67.0
DIMBOKRO,6,2019,7.0,37.0,8.0,3.0,247,79,56.0,9.0,,2.0,,41.0,9.0,329.0,144.0,,140.0,81.0,815.0,297.0,,109.0,,340.0,208.0
DIVO,1,2019,508.0,170.0,8.0,1.0,895,194,243.0,16.0,9.0,9.0,3.0,160.0,3.0,688.0,2174.0,7.0,175.0,14.0,639.0,508.0,,183.0,,519.0,926.0
DIVO,2,2019,653.0,171.0,9.0,,1077,161,235.0,18.0,9.0,3.0,3.0,110.0,3.0,504.0,777.0,,204.0,,553.0,1456.0,,199.0,,471.0,1626.0
DIVO,3,2019,625.0,180.0,4.0,1.0,1145,172,276.0,21.0,8.0,3.0,3.0,138.0,1.0,666.0,5443.0,,299.0,111.0,1002.0,8934.0,,218.0,,565.0,4951.0
DIVO,4,2019,667.0,195.0,26.0,29.0,1225,137,296.0,36.0,8.0,21.0,1.0,153.0,32.0,627.0,4055.0,6.0,280.0,10.0,876.0,4566.0,,230.0,,629.0,5284.0
DIVO,5,2019,611.0,115.0,46.0,14.0,1275,116,310.0,13.0,9.0,2.0,1.0,109.0,58.0,675.0,4957.0,6.0,194.0,111.0,726.0,43282.0,,187.0,,525.0,5989.0
DIVO,6,2019,679.0,161.0,42.0,15.0,1362,252,352.0,79.0,63.0,,,118.0,48.0,664.0,5711.0,,229.0,110.0,826.0,1133.0,,234.0,,566.0,1462.0
DOROPO,1,2019,109.0,18.0,12.0,5.0,180,59,3.0,2.0,,,,16.0,12.0,166.0,1.0,,53.0,12.0,241.0,15.0,,37.0,,77.0,14.0
DOROPO,2,2019,26.0,18.0,4.0,2.0,167,57,5.0,6.0,,,,15.0,,204.0,38.0,5.0,30.0,,294.0,210.0,,20.0,,120.0,146.0
DOROPO,3,2019,18.0,34.0,10.0,15.0,122,73,4.0,3.0,,,,28.0,,168.0,,,64.0,,288.0,190.0,,33.0,,121.0,15.0
DOROPO,4,2019,20.0,32.0,2.0,5.0,112,91,,1.0,,,,32.0,7.0,181.0,10.0,,72.0,20.0,300.0,18.0,,58.0,,129.0,8.0
DOROPO,5,2019,22.0,36.0,17.0,11.0,84,105,3.0,3.0,,,,30.0,11.0,172.0,6.0,,48.0,33.0,286.0,24.0,,35.0,,111.0,18.0
DOROPO,6,2019,27.0,22.0,,,71,57,5.0,,28.0,30.0,,27.0,11.0,155.0,7.0,,74.0,32.0,278.0,6.0,,56.0,,149.0,5.0
DUEKOUE,1,2019,1466.0,116.0,17.0,2.0,1792,157,125.0,17.0,,2.0,2.0,91.0,1.0,198.0,52.0,6.0,158.0,28.0,403.0,102.0,,105.0,,441.0,137.0
DUEKOUE,2,2019,536.0,105.0,5.0,2.0,681,120,161.0,13.0,173.0,6.0,5.0,44.0,3.0,137.0,40.0,24.0,69.0,40.0,254.0,131.0,,60.0,,341.0,151.0
DUEKOUE,3,2019,1109.0,101.0,137.0,2.0,1194,197,124.0,13.0,1.0,5.0,5.0,34.0,18.0,167.0,1050.0,25.0,85.0,28.0,304.0,727.0,,60.0,,393.0,530.0
DUEKOUE,4,2019,1117.0,118.0,134.0,3.0,1208,152,109.0,9.0,1.0,4.0,,55.0,1.0,195.0,34.0,3.0,101.0,16.0,225.0,111.0,,61.0,,356.0,69.0
DUEKOUE,5,2019,932.0,103.0,131.0,4.0,1267,130,108.0,1.0,1.0,2.0,2.0,36.0,,109.0,41.0,9.0,100.0,4.0,167.0,64.0,,101.0,,367.0,71.0
DUEKOUE,6,2019,913.0,72.0,139.0,9.0,1165,118,102.0,7.0,1.0,1.0,,13.0,,43.0,32.0,,,,10.0,,,,,254.0,26.0
FERKESSEDOUGOU,1,2019,41.0,66.0,2.0,1.0,235,127,26.0,7.0,,1.0,,,,,,,,,,,,,,,
FERKESSEDOUGOU,2,2019,8.0,51.0,3.0,1.0,195,90,23.0,11.0,,,,,,,,,,,,,,,,,
FERKESSEDOUGOU,3,2019,4.0,74.0,1.0,1.0,248,103,26.0,5.0,1.0,2.0,,,,,,,,,,,,,,,
FERKESSEDOUGOU,4,2019,51.0,84.0,9.0,5.0,246,98,26.0,3.0,,,,,,,,,,,,,,,,,
FERKESSEDOUGOU,5,2019,62.0,59.0,36.0,71.0,164,119,23.0,7.0,,17.0,,,,,,,,,,,,,,,
FERKESSEDOUGOU,6,2019,54.0,70.0,,1.0,189,88,5.0,2.0,2.0,3.0,,,,,,,,,,,,,,,
FRESCO,1,2019,165.0,20.0,19.0,5.0,172,70,11.0,5.0,10.0,,,19.0,17.0,174.0,33.0,,10.0,9.0,142.0,6.0,,149.0,,290.0,398.0
FRESCO,2,2019,187.0,9.0,21.0,2.0,171,68,10.0,6.0,7.0,,,8.0,6.0,135.0,652.0,,,,156.0,,,139.0,,266.0,392.0
