,label,RMSE,MAE,MASE
2,C2131 X AS27133_FB Prophet,20.32,14.82,1.63
0,C2131 X AS27134_SARIMA,0.0,0.0,0.0
0,C2131 X AS27137_SARIMA,5.93,4.99,1.66
0,C2131 X AS27138_SARIMA,5.97,5.04,0.97
0,C2131 X AS27139_SARIMA,0.0,0.0,0.0
0,C2168 X AS17005_SARIMA,0.67,0.22,inf
1,C2168 X AS17005_Holt-Winters 3,0.67,0.22,inf
2,C2168 X AS17005_FB Prophet,0.67,0.22,inf
1,C2168 X AS27000_Holt-Winters 3,1.29,0.63,0.63
1,C2168 X AS27132_Holt-Winters 3,0.67,0.26,1.38
0,C2168 X AS27133_SARIMA,13.54,10.74,1.05
1,C2168 X AS27134_Holt-Winters 3,7.68,3.04,1.25
1,C2168 X AS27137_Holt-Winters 3,2.08,1.06,1.0
0,C2168 X AS27138_SARIMA,0.33,0.13,inf
1,C2168 X AS27138_Holt-Winters 3,0.75,0.36,inf
2,C2168 X AS27138_FB Prophet,0.75,0.33,inf
0,C2168 X AS27139_SARIMA,0.0,0.0,0.0
0,C2168 X AS42018_SARIMA,0.33,0.13,inf
1,C2168 X AS42018_Holt-Winters 3,0.33,0.11,inf
2,C2168 X AS42018_FB Prophet,0.33,0.11,inf
0,C2168 X AS46000_SARIMA,44.0,14.67,inf
1,C2168 X AS46000_Holt-Winters 3,69.08,50.44,inf
2,C2168 X AS46000_FB Prophet,65.24,32.0,inf
0,C2194 X AS27000_SARIMA,6.46,4.93,inf
1,C2194 X AS27000_Holt-Winters 3,12.53,10.44,inf
2,C2194 X AS27000_FB Prophet,12.53,10.44,inf
0,C2194 X AS27132_SARIMA,0.33,0.13,inf
1,C2194 X AS27132_Holt-Winters 3,0.33,0.11,inf
2,C2194 X AS27132_FB Prophet,0.33,0.11,inf
0,C2194 X AS27133_SARIMA,8.23,6.88,inf
1,C2194 X AS27133_Holt-Winters 3,10.95,8.33,inf
2,C2194 X AS27133_FB Prophet,10.95,8.33,inf
0,C2194 X AS27137_SARIMA,5.7,4.32,inf
1,C2194 X AS27137_Holt-Winters 3,13.98,12.95,inf
2,C2194 X AS27137_FB Prophet,9.48,7.33,inf
0,C2194 X AS27138_SARIMA,3.99,2.26,inf
1,C2194 X AS27138_Holt-Winters 3,4.54,2.96,inf
2,C2194 X AS27138_FB Prophet,4.51,2.78,inf
0,C2214 X AS27000_SARIMA,4.11,2.8,inf
1,C2214 X AS27000_Holt-Winters 3,10.46,8.66,inf
2,C2214 X AS27000_FB Prophet,10.77,7.0,inf
0,C2214 X AS27133_SARIMA,16.12,11.28,inf
1,C2214 X AS27133_Holt-Winters 3,36.15,33.12,inf
2,C2214 X AS27133_FB Prophet,30.35,23.89,inf
0,C2214 X AS27138_SARIMA,4.37,2.14,inf
1,C2214 X AS27138_Holt-Winters 3,8.77,6.57,inf
2,C2214 X AS27138_FB Prophet,9.08,6.67,inf
0,C3001 X AS27000_SARIMA,6.44,5.76,1.3
0,C3001 X AS27132_SARIMA,11.05,6.17,2.41
2,C3001 X AS27133_FB Prophet,35.88,19.24,6.41
1,C3001 X AS27134_Holt-Winters 3,24.87,11.2,3.23
1,C3010 X AS27000_Holt-Winters 3,1.75,1.15,0.28
1,C3010 X AS27132_Holt-Winters 3,2.62,1.71,0.69
0,C3010 X AS27133_SARIMA,26.86,19.87,0.79
0,C3010 X AS27134_SARIMA,17.52,13.79,0.84
2,C3010 X AS27137_FB Prophet,9.29,7.73,2.75
0,C3010 X AS27138_SARIMA,4.54,4.14,4.41
0,C3010 X AS27139_SARIMA,0.0,0.0,0.0
0,C3011 X AS27000_SARIMA,23.98,15.83,0.82
0,C3011 X AS27133_SARIMA,45.94,36.66,1.64
1,C3011 X AS27137_Holt-Winters 3,1.45,1.28,0.24
1,C3011 X AS27138_Holt-Winters 3,7.55,6.18,0.77
0,C3012 X AS27000_SARIMA,9.65,8.57,0.57
0,C3012 X AS27132_SARIMA,2.71,1.79,inf
1,C3012 X AS27132_Holt-Winters 3,3.05,1.69,inf
2,C3012 X AS27132_FB Prophet,3.14,1.67,inf
0,C3012 X AS27133_SARIMA,41.32,33.97,1.95
1,C3012 X AS27134_Holt-Winters 3,36.78,16.82,2.69
1,C3012 X AS27137_Holt-Winters 3,6.16,4.47,3.04
0,C3012 X AS27138_SARIMA,9.76,7.61,1.62
1,C3012 X AS27139_Holt-Winters 3,2.87,1.54,0.36
0,C3013 X AS27000_SARIMA,4.14,2.99,0.69
0,C3013 X AS27132_SARIMA,0.59,0.46,0.57
1,C3013 X AS27133_Holt-Winters 3,26.05,20.04,0.87
0,C3013 X AS27134_SARIMA,7.25,6.66,0.64
1,C3013 X AS27137_Holt-Winters 3,5.5,4.31,0.62
0,C3013 X AS27138_SARIMA,16.45,14.86,1.48
1,C3013 X AS46000_Holt-Winters 3,13.83,6.12,0.35
0,C3014 X AS27000_SARIMA,1.73,1.44,1.85
0,C3014 X AS27133_SARIMA,11.72,9.63,2.8
1,C3014 X AS27134_Holt-Winters 3,14.6,8.36,1.65
0,C3014 X AS27137_SARIMA,4.38,3.45,0.93
0,C3014 X AS27138_SARIMA,0.0,0.0,0.0
1,C3015 X AS27000_Holt-Winters 3,3.05,2.53,0.7
1,C3015 X AS27132_Holt-Winters 3,0.49,0.32,0.11
1,C3015 X AS27133_Holt-Winters 3,22.11,17.96,0.68
1,C3015 X AS27134_Holt-Winters 3,16.91,11.53,0.45
0,C3015 X AS27137_SARIMA,2.0,1.76,0.81
0,C3015 X AS27138_SARIMA,2.87,2.37,1.55
0,C3016 X AS27000_SARIMA,1.67,0.56,inf
1,C3016 X AS27000_Holt-Winters 3,2.61,1.28,inf
2,C3016 X AS27000_FB Prophet,2.6,1.22,inf
0,C3016 X AS27132_SARIMA,1.0,0.33,inf
1,C3016 X AS27132_Holt-Winters 3,1.0,0.33,inf
2,C3016 X AS27132_FB Prophet,1.0,0.33,inf
0,C3016 X AS27133_SARIMA,16.87,6.75,inf
1,C3016 X AS27133_Holt-Winters 3,27.74,21.49,inf
2,C3016 X AS27133_FB Prophet,31.18,16.67,inf
0,C3016 X AS27137_SARIMA,6.67,2.22,inf
1,C3016 X AS27137_Holt-Winters 3,6.58,2.38,inf
2,C3016 X AS27137_FB Prophet,6.67,2.22,inf
1,C3017 X AS27000_Holt-Winters 3,9.77,8.32,1.1
1,C3017 X AS27132_Holt-Winters 3,3.22,2.94,0.33
0,C3017 X AS27133_SARIMA,26.83,21.95,1.18
1,C3017 X AS27134_Holt-Winters 3,2.21,1.79,0.35
2,C3017 X AS27137_FB Prophet,11.64,9.03,1.03
0,C3017 X AS27138_SARIMA,9.93,7.69,1.53
0,C3017 X AS46000_SARIMA,19.51,15.06,0.48
1,C3018 X AS27000_Holt-Winters 3,1.75,1.35,0.76
1,C3018 X AS27132_Holt-Winters 3,0.45,0.35,0.26
0,C3018 X AS27133_SARIMA,16.03,14.22,0.79
0,C3018 X AS27134_SARIMA,3.68,3.01,3.71
0,C3018 X AS27137_SARIMA,4.09,3.55,1.19
0,C3019 X AS27000_SARIMA,4.08,3.18,0.79
0,C3019 X AS27133_SARIMA,31.97,27.2,1.09
1,C3019 X AS27134_Holt-Winters 3,2.19,1.62,1.44
0,C3019 X AS27137_SARIMA,6.77,5.12,1.52
1,C3019 X AS27138_Holt-Winters 3,4.85,4.01,0.86
1,C3020 X AS27000_Holt-Winters 3,13.68,9.52,0.41
1,C3020 X AS27132_Holt-Winters 3,2.68,2.42,0.07
0,C3020 X AS27133_SARIMA,30.98,25.34,0.85
1,C3020 X AS27134_Holt-Winters 3,2.11,1.43,0.16
0,C3020 X AS27137_SARIMA,10.95,7.71,0.77
0,C3020 X AS27138_SARIMA,4.08,3.14,0.52
1,C3020 X AS27139_Holt-Winters 3,0.06,0.06,0.02
0,C3022 X AS27000_SARIMA,2.2,1.78,0.31
1,C3022 X AS27132_Holt-Winters 3,0.36,0.17,0.23
0,C3022 X AS27133_SARIMA,14.92,11.01,1.79
0,C3022 X AS27137_SARIMA,2.07,1.67,1.48
0,C3022 X AS27138_SARIMA,8.96,6.06,0.93
0,C3023 X AS27000_SARIMA,6.06,4.47,0.18
1,C3023 X AS27132_Holt-Winters 3,0.12,0.11,0.01
0,C3023 X AS27133_SARIMA,9.85,5.59,0.58
1,C3023 X AS27134_Holt-Winters 3,39.17,20.6,13.45
1,C3023 X AS27137_Holt-Winters 3,3.24,2.08,0.29
1,C3023 X AS27138_Holt-Winters 3,4.51,2.58,0.41
0,C3023 X AS27139_SARIMA,0.0,0.0,0.0
1,C3023 X AS42018_Holt-Winters 3,0.01,0.01,0.01
1,C3023 X AS46000_Holt-Winters 3,0.48,0.47,0.0
0,C4001 X AS27000_SARIMA,10.14,7.05,0.81
1,C4001 X AS27132_Holt-Winters 3,1.27,0.85,0.65
0,C4001 X AS27133_SARIMA,21.13,17.44,2.74
0,C4001 X AS27134_SARIMA,47.6,27.09,2.69
1,C4001 X AS27137_Holt-Winters 3,0.46,0.23,0.93
0,C4001 X AS27138_SARIMA,2.94,2.26,1.64
1,C4002 X AS27000_Holt-Winters 3,5.18,4.34,0.32
1,C4002 X AS27132_Holt-Winters 3,1.62,1.18,0.24
0,C4002 X AS27133_SARIMA,3.83,2.93,0.62
1,C4002 X AS27134_Holt-Winters 3,2.68,2.4,1.32
0,C4002 X AS27137_SARIMA,0.99,0.81,0.7
0,C4002 X AS27138_SARIMA,1.3,0.95,1.45
1,C4002 X AS42018_Holt-Winters 3,1.12,0.71,0.43
0,C4003 X AS27133_SARIMA,13.08,10.41,3.33
0,C4003 X AS27137_SARIMA,0.0,0.0,0.0
1,C4003 X AS27137_Holt-Winters 3,0.02,0.01,0.0
0,C4003 X AS27138_SARIMA,1.67,0.65,inf
1,C4003 X AS27138_Holt-Winters 3,1.67,0.56,inf
2,C4003 X AS27138_FB Prophet,1.67,0.56,inf
0,C4014 X AS27000_SARIMA,18.01,13.45,0.57
0,C4014 X AS27132_SARIMA,2.38,2.24,1.49
0,C4014 X AS27137_SARIMA,6.05,5.22,2.53
0,C4015 X AS27000_SARIMA,10.21,8.64,1.03
1,C4015 X AS27132_Holt-Winters 3,0.52,0.43,0.27
0,C4015 X AS27133_SARIMA,35.83,31.13,1.63
1,C4015 X AS27134_Holt-Winters 3,136.82,64.47,2.68
2,C4015 X AS27137_FB Prophet,8.18,6.68,2.67
0,C4015 X AS27138_SARIMA,5.92,4.63,3.22
1,C4016 X AS27000_Holt-Winters 3,38.62,24.29,0.62
0,C4016 X AS27133_SARIMA,24.67,22.01,1.81
1,C4016 X AS27134_Holt-Winters 3,21.85,12.63,1.26
1,C4016 X AS27138_Holt-Winters 3,7.15,5.37,1.35
0,C4017 X AS17005_SARIMA,1.0,0.36,inf
1,C4017 X AS17005_Holt-Winters 3,1.4,0.68,inf
2,C4017 X AS17005_FB Prophet,1.41,0.67,inf
0,C4017 X AS27000_SARIMA,5.73,4.95,0.82
1,C4017 X AS27132_Holt-Winters 3,2.37,0.98,0.21
1,C4017 X AS27133_Holt-Winters 3,24.85,8.91,6.33
1,C4017 X AS27134_Holt-Winters 3,0.02,0.02,0.07
1,C4017 X AS27137_Holt-Winters 3,0.56,0.35,3.68
0,C4017 X AS27138_SARIMA,1.67,0.56,inf
1,C4017 X AS27138_Holt-Winters 3,1.67,0.56,inf
2,C4017 X AS27138_FB Prophet,1.67,0.56,inf
1,C4017 X AS27139_Holt-Winters 3,0.02,0.01,0.0
1,C4017 X AS46000_Holt-Winters 3,0.44,0.27,0.8
0,C4018 X AS27000_SARIMA,9.45,7.71,0.54
1,C4018 X AS27132_Holt-Winters 3,8.04,5.77,1.4
0,C4018 X AS27133_SARIMA,20.13,17.33,1.15
1,C4018 X AS27134_Holt-Winters 3,6.42,5.32,0.16
1,C4018 X AS27138_Holt-Winters 3,2.13,1.68,0.8
0,C4018 X AS27139_SARIMA,0.0,0.0,0.0
1,C4018 X AS27139_Holt-Winters 3,0.0,0.0,0.0
2,C4019 X AS27000_FB Prophet,38.72,34.52,0.67
1,C4019 X AS27132_Holt-Winters 3,22.42,10.83,1.26
0,C4019 X AS27133_SARIMA,20.23,17.02,1.33
0,C4019 X AS27134_SARIMA,24.76,17.13,0.91
0,C4019 X AS27137_SARIMA,6.79,5.43,1.42
0,C4019 X AS27138_SARIMA,4.96,4.04,1.85
1,C4020 X AS27000_Holt-Winters 3,2.05,1.19,0.73
1,C4020 X AS27133_Holt-Winters 3,9.32,4.3,1.84
1,C4020 X AS27134_Holt-Winters 3,1.31,0.47,1.25
1,C4020 X AS27138_Holt-Winters 3,0.66,0.23,3.71
1,C4021 X AS17005_Holt-Winters 3,0.05,0.05,0.03
1,C4021 X AS27000_Holt-Winters 3,6.53,4.17,2.26
1,C4021 X AS27132_Holt-Winters 3,4.98,1.71,1.37
0,C4021 X AS27133_SARIMA,4.33,1.44,inf
1,C4021 X AS27133_Holt-Winters 3,4.33,1.44,inf
2,C4021 X AS27133_FB Prophet,4.33,1.44,inf
1,C4021 X AS27134_Holt-Winters 3,26.13,16.72,2.68
0,C4021 X AS27137_SARIMA,1.67,0.56,inf
1,C4021 X AS27137_Holt-Winters 3,1.67,0.56,inf
2,C4021 X AS27137_FB Prophet,1.67,0.56,inf
0,C4021 X AS27138_SARIMA,0.44,0.24,inf
1,C4021 X AS27138_Holt-Winters 3,0.44,0.24,inf
2,C4021 X AS27138_FB Prophet,0.47,0.22,inf
1,C4021 X AS46000_Holt-Winters 3,0.05,0.05,0.01
0,C4022 X AS27000_SARIMA,1.84,1.3,0.73
0,C4022 X AS27132_SARIMA,0.75,0.44,1.07
1,C4022 X AS27133_Holt-Winters 3,15.46,12.61,0.57
1,C4022 X AS27134_Holt-Winters 3,13.71,6.89,0.45
1,C4022 X AS27137_Holt-Winters 3,1.75,0.93,1.65
0,C4022 X AS27138_SARIMA,1.1,0.93,0.9
0,C4022 X AS27139_SARIMA,0.0,0.0,0.0
1,C4022 X AS27139_Holt-Winters 3,0.0,0.0,0.0
1,C4023 X AS27000_Holt-Winters 3,8.62,7.35,0.76
1,C4023 X AS27133_Holt-Winters 3,22.97,18.94,0.84
0,C4024 X AS27000_SARIMA,5.58,4.69,0.68
1,C4024 X AS27132_Holt-Winters 3,0.09,0.07,0.04
0,C4024 X AS27133_SARIMA,11.75,11.01,1.15
1,C4024 X AS27137_Holt-Winters 3,2.94,1.91,2.35
2,C4025 X AS27000_FB Prophet,18.36,11.26,0.85
1,C4025 X AS27132_Holt-Winters 3,0.04,0.02,0.01
0,C4025 X AS27133_SARIMA,23.1,19.52,1.47
1,C4025 X AS27134_Holt-Winters 3,0.87,0.62,0.09
0,C4025 X AS27137_SARIMA,8.22,6.24,0.69
1,C4025 X AS27138_Holt-Winters 3,1.85,1.3,0.97
1,C4026 X AS27000_Holt-Winters 3,23.22,14.96,0.26
1,C4026 X AS27132_Holt-Winters 3,4.08,1.82,0.29
1,C4026 X AS27133_Holt-Winters 3,45.22,27.11,0.75
0,C4026 X AS27134_SARIMA,24.67,19.88,0.6
1,C4026 X AS27137_Holt-Winters 3,1.7,1.27,0.95
1,C4026 X AS27138_Holt-Winters 3,0.28,0.28,0.02
0,C4026 X AS27139_SARIMA,0.0,0.0,0.0
0,C4026 X AS46000_SARIMA,0.0,0.0,0.0
2,C4037 X AS27000_FB Prophet,22.13,18.53,1.09
1,C4037 X AS27132_Holt-Winters 3,10.6,6.58,1.48
0,C4037 X AS27133_SARIMA,49.95,41.98,3.17
1,C4037 X AS27134_Holt-Winters 3,84.57,59.38,0.72
0,C4037 X AS27137_SARIMA,20.23,14.36,6.57
0,C4037 X AS27138_SARIMA,11.22,8.12,1.86
1,C4037 X AS46000_Holt-Winters 3,6.67,2.22,2.97
1,C4038 X AS27000_Holt-Winters 3,6.15,5.16,0.57
0,C4038 X AS27132_SARIMA,1.0,0.33,inf
1,C4038 X AS27132_Holt-Winters 3,1.0,0.33,inf
2,C4038 X AS27132_FB Prophet,1.0,0.33,inf
0,C4038 X AS27133_SARIMA,15.62,11.58,1.18
0,C4038 X AS27134_SARIMA,8.19,6.08,0.35
0,C4038 X AS27137_SARIMA,4.86,3.61,6.42
0,C4038 X AS27138_SARIMA,4.21,3.08,2.9
0,C4054 X AS27133_SARIMA,7.08,6.37,1.32
0,C4054 X AS27139_SARIMA,0.0,0.0,0.0
0,C4056 X AS27000_SARIMA,5.19,4.62,16.41
0,C4056 X AS27133_SARIMA,14.25,10.71,1.62
0,C4056 X AS27134_SARIMA,3.56,3.16,0.26
0,C4056 X AS27137_SARIMA,1.99,1.58,0.97
0,C4056 X AS27138_SARIMA,3.01,1.13,inf
1,C4056 X AS27138_Holt-Winters 3,2.94,2.19,inf
2,C4056 X AS27138_FB Prophet,3.23,1.56,inf
0,C4061 X AS27000_SARIMA,6.57,6.02,1.91
1,C4061 X AS27132_Holt-Winters 3,4.68,2.31,0.95
0,C4061 X AS27133_SARIMA,24.92,22.87,4.91
1,C4061 X AS27134_Holt-Winters 3,16.09,7.03,1.28
0,C4061 X AS27137_SARIMA,16.47,14.7,3.54
0,C4061 X AS27138_SARIMA,19.94,18.27,5.18
1,C5001 X AS27000_Holt-Winters 3,9.96,4.76,0.41
0,C5001 X AS27133_SARIMA,17.34,14.01,0.9
1,C5001 X AS27134_Holt-Winters 3,23.58,14.46,1.02
1,C5001 X AS27137_Holt-Winters 3,1.32,0.81,0.43
0,C5001 X AS27138_SARIMA,28.14,25.35,4.38
0,C5002 X AS27000_SARIMA,2.98,2.36,0.4
0,C5002 X AS27132_SARIMA,0.63,0.45,0.38
0,C5002 X AS27133_SARIMA,19.61,15.34,0.94
2,C5002 X AS27137_FB Prophet,32.0,26.69,0.4
1,C5002 X AS27138_Holt-Winters 3,19.73,15.18,2.07
0,C5003 X AS27000_SARIMA,5.1,4.09,0.95
0,C5003 X AS27133_SARIMA,22.8,18.67,1.06
1,C5003 X AS27134_Holt-Winters 3,0.06,0.04,0.03
0,C5003 X AS27137_SARIMA,11.41,8.53,0.57
0,C5003 X AS27138_SARIMA,10.14,8.46,0.84
0,C5004 X AS27000_SARIMA,8.13,6.59,1.34
1,C5004 X AS27132_Holt-Winters 3,61.22,21.54,9.85
0,C5004 X AS27133_SARIMA,21.65,16.73,0.59
1,C5004 X AS27137_Holt-Winters 3,4.42,3.59,1.14
0,C5004 X AS27138_SARIMA,10.3,7.38,0.72
0,C5004 X AS27139_SARIMA,8.69,5.88,9.89
1,C5006 X AS27000_Holt-Winters 3,10.59,8.61,1.15
1,C5006 X AS27132_Holt-Winters 3,2.3,1.83,2.44
0,C5006 X AS27133_SARIMA,49.01,39.2,1.87
0,C5006 X AS27134_SARIMA,7.81,6.56,0.46
1,C5006 X AS27137_Holt-Winters 3,4.09,3.26,1.11
0,C5006 X AS27138_SARIMA,4.57,3.73,1.03
1,C5015 X AS27133_Holt-Winters 3,10.69,6.91,0.38
0,C5015 X AS27137_SARIMA,4.82,4.46,2.86
1,C5015 X AS46000_Holt-Winters 3,239.95,80.13,0.99
1,C5016 X AS27000_Holt-Winters 3,3.14,2.58,0.41
1,C5016 X AS27132_Holt-Winters 3,1.1,0.7,0.27
0,C5016 X AS27133_SARIMA,10.56,8.8,1.2
0,C5016 X AS27134_SARIMA,2.24,2.08,0.22
0,C5016 X AS27137_SARIMA,5.69,3.84,0.41
0,C5017 X AS27000_SARIMA,5.35,3.98,0.53
0,C5017 X AS27133_SARIMA,16.42,13.97,1.0
1,C5017 X AS27133_Holt-Winters 3,16.66,13.96,1.0
1,C5017 X AS27137_Holt-Winters 3,4.7,3.51,112.29
0,C5017 X AS27138_SARIMA,2.84,1.91,inf
1,C5017 X AS27138_Holt-Winters 3,3.19,2.1,inf
2,C5017 X AS27138_FB Prophet,3.2,2.0,inf
1,C5017 X AS46000_Holt-Winters 3,121.61,100.47,1.11
0,C5018 X AS27000_SARIMA,6.56,5.33,0.7
1,C5018 X AS27132_Holt-Winters 3,5.7,2.22,0.68
0,C5018 X AS27133_SARIMA,46.14,32.9,1.73
0,C5018 X AS27137_SARIMA,8.48,7.32,0.89
1,C5018 X AS27138_Holt-Winters 3,5.05,4.16,0.48
0,C5018 X AS27139_SARIMA,0.0,0.0,0.0
0,C5019 X AS27000_SARIMA,5.69,4.43,1.12
0,C5019 X AS27132_SARIMA,5.39,3.47,inf
1,C5019 X AS27132_Holt-Winters 3,5.55,3.13,inf
2,C5019 X AS27132_FB Prophet,5.58,3.11,inf
0,C5019 X AS27133_SARIMA,40.62,33.63,1.13
0,C5019 X AS27137_SARIMA,5.64,4.15,0.65
0,C5019 X AS27138_SARIMA,4.76,3.92,1.18
0,C5020 X AS27000_SARIMA,4.19,3.75,0.68
1,C5020 X AS27132_Holt-Winters 3,0.34,0.19,0.21
1,C5020 X AS27133_Holt-Winters 3,25.57,20.42,3.17
1,C5020 X AS27134_Holt-Winters 3,2.78,2.13,0.51
0,C5020 X AS27137_SARIMA,4.17,3.61,3.85
0,C5020 X AS27138_SARIMA,7.23,6.24,1.51
0,C5021 X AS27000_SARIMA,2.74,1.92,1.18
1,C5021 X AS27132_Holt-Winters 3,0.33,0.12,0.62
1,C5021 X AS27133_Holt-Winters 3,15.25,10.78,1.02
1,C5021 X AS27134_Holt-Winters 3,2.68,1.54,0.38
0,C5021 X AS27138_SARIMA,3.66,3.02,4.4
1,C5060 X AS27000_Holt-Winters 3,5.3,4.74,0.25
1,C5060 X AS27133_Holt-Winters 3,19.16,13.4,0.63
1,C5060 X AS27137_Holt-Winters 3,8.51,6.33,0.87
0,C5060 X AS27138_SARIMA,5.89,5.02,1.4
0,C5063 X AS27000_SARIMA,2.09,1.62,0.45
1,C5063 X AS27132_Holt-Winters 3,1.46,1.03,0.27
0,C5063 X AS27133_SARIMA,5.77,3.91,1.23
0,C5063 X AS27134_SARIMA,2.35,1.84,2.27
0,C5063 X AS27137_SARIMA,1.08,0.98,0.61
1,C5063 X AS27138_Holt-Winters 3,3.41,2.8,0.75
1,C5063 X AS27139_Holt-Winters 3,0.04,0.04,0.11
1,C5063 X AS46000_Holt-Winters 3,4.12,2.07,0.68
0,C5066 X AS27133_SARIMA,8.95,7.02,2.25
1,C5066 X AS27137_Holt-Winters 3,0.35,0.18,0.05
1,C5066 X AS27138_Holt-Winters 3,6.99,3.6,3.84
